Date,Open,High,Low,Close,Volume
31-May-17,279.47,281.28,279.27,281.13,1506621
30-May-17,281.83,282.84,279.73,280.09,902223
26-May-17,282.04,284.00,281.54,283.65,854649
25-May-17,281.00,282.33,280.56,282.06,834315
24-May-17,278.22,280.56,278.11,280.05,872150
23-May-17,278.00,278.62,276.10,278.36,874710
22-May-17,280.79,280.79,276.22,277.03,1601219
19-May-17,268.70,272.88,268.11,272.79,1254064
18-May-17,268.54,269.00,266.01,267.32,1245863
17-May-17,270.10,270.73,268.91,269.24,943254
16-May-17,272.08,273.26,271.43,271.65,614812
15-May-17,271.28,272.47,271.05,272.35,616533
12-May-17,270.91,271.70,270.75,271.26,599693
11-May-17,271.14,272.25,270.20,272.09,605542
10-May-17,272.88,273.71,270.17,271.74,934942
9-May-17,273.00,274.22,272.27,273.87,897905
8-May-17,272.92,274.00,272.10,272.50,674829
5-May-17,270.68,273.10,270.21,273.03,812695
4-May-17,269.87,270.71,268.86,270.51,691113
3-May-17,268.75,269.95,268.20,269.60,636526
2-May-17,268.19,269.87,268.00,269.49,737105
1-May-17,269.55,270.11,268.37,268.43,841677
28-Apr-17,271.07,271.54,268.62,269.45,1004174
27-Apr-17,270.84,272.77,269.94,271.14,953829
26-Apr-17,270.59,272.51,269.54,270.35,1477178
25-Apr-17,273.90,274.50,267.68,270.02,2963859
24-Apr-17,275.54,276.64,274.31,276.21,1098834
21-Apr-17,272.20,274.49,272.00,273.09,955493
20-Apr-17,270.15,273.20,269.66,271.85,814558
19-Apr-17,269.69,270.05,268.67,269.63,816649
18-Apr-17,269.88,270.70,268.22,268.78,762905
17-Apr-17,268.13,269.90,267.91,269.88,811635
13-Apr-17,268.14,270.28,268.00,268.00,764024
12-Apr-17,269.89,270.48,268.04,268.51,955388
11-Apr-17,269.00,270.52,268.18,270.27,744445
10-Apr-17,270.19,271.36,268.84,269.03,789254
7-Apr-17,272.34,272.34,268.18,270.23,1020824
6-Apr-17,266.87,267.79,266.32,267.11,740491
5-Apr-17,269.84,270.95,266.81,266.98,949515
4-Apr-17,268.54,270.05,268.25,269.56,568007
3-Apr-17,267.60,269.30,267.35,268.68,799099
31-Mar-17,270.47,270.47,267.60,267.60,1214444
30-Mar-17,268.56,270.93,268.21,270.54,562507
29-Mar-17,268.92,268.92,267.26,268.24,814143
28-Mar-17,266.63,270.79,266.02,269.12,1021333
27-Mar-17,265.65,267.88,264.04,267.16,994391
24-Mar-17,269.83,269.98,266.72,267.42,870501
23-Mar-17,269.42,271.47,268.98,269.50,804297
22-Mar-17,268.83,270.28,267.91,269.42,1021193
21-Mar-17,272.35,273.02,268.36,269.00,1359584
20-Mar-17,272.16,274.57,271.62,272.03,1324995
17-Mar-17,268.78,272.18,268.30,271.98,2127652
16-Mar-17,270.68,270.68,267.13,267.94,982178
15-Mar-17,268.00,269.87,267.75,269.44,748495
14-Mar-17,268.93,269.15,267.38,268.00,701651
13-Mar-17,268.51,269.26,268.00,269.19,819126
10-Mar-17,269.90,269.90,267.27,268.66,687343
9-Mar-17,268.00,269.00,267.54,268.68,729460
8-Mar-17,269.00,269.04,267.31,267.72,820093
7-Mar-17,267.31,269.38,267.30,269.04,884634
6-Mar-17,267.43,268.48,266.80,267.72,778302
3-Mar-17,267.07,268.33,266.25,267.76,772421
2-Mar-17,269.00,269.00,266.22,266.99,954181
1-Mar-17,269.09,270.00,267.33,268.38,1125601
28-Feb-17,269.64,269.72,266.45,266.58,2049434
27-Feb-17,265.00,270.00,264.20,269.36,1500444
24-Feb-17,264.57,266.00,263.18,266.00,929225
23-Feb-17,266.31,266.31,263.77,264.85,1008277
22-Feb-17,265.00,266.02,264.21,265.92,712715
21-Feb-17,264.81,266.07,264.19,265.66,957257
17-Feb-17,264.71,265.43,263.50,265.35,882742
16-Feb-17,263.92,265.40,262.73,265.33,859021
15-Feb-17,262.00,263.76,261.07,263.46,1063803
14-Feb-17,262.19,263.16,261.85,262.56,824197
13-Feb-17,261.05,263.11,261.02,262.35,906759
10-Feb-17,258.48,260.92,258.00,260.55,749403
9-Feb-17,256.80,259.04,256.80,258.20,869679
8-Feb-17,256.93,257.81,256.40,256.74,973415
7-Feb-17,256.00,257.30,255.58,256.37,977790
6-Feb-17,254.43,257.07,254.11,255.31,980820
3-Feb-17,252.67,256.46,251.50,254.46,1803657
2-Feb-17,250.90,252.16,250.34,251.97,1045748
1-Feb-17,250.83,252.56,249.98,250.90,1210386
31-Jan-17,252.32,252.50,249.96,251.33,1276311
30-Jan-17,254.33,256.28,251.88,252.83,1537362
27-Jan-17,254.98,259.12,250.13,253.50,2597749
26-Jan-17,250.00,254.99,249.55,254.97,1956738
25-Jan-17,253.06,254.33,248.00,251.00,2329854
