Date,Open,High,Low,Close,Volume
31-May-17,28.54,28.90,28.29,28.69,6778657
30-May-17,29.16,29.28,28.93,28.97,8432409
26-May-17,29.71,29.79,29.33,29.45,8855436
25-May-17,30.33,30.97,29.43,29.73,7626112
24-May-17,30.86,31.06,30.34,30.45,4812161
23-May-17,31.11,31.18,30.55,30.81,5944751
22-May-17,31.56,31.73,31.07,31.09,4891837
19-May-17,31.03,31.40,30.80,31.24,7152661
18-May-17,31.09,31.25,30.70,30.72,7873764
17-May-17,31.38,31.90,31.24,31.36,5654395
16-May-17,32.10,32.18,31.54,31.61,4627596
15-May-17,32.18,32.21,31.71,31.97,7758572
12-May-17,31.30,31.68,31.30,31.53,8213127
11-May-17,31.72,31.80,31.29,31.34,6985867
10-May-17,31.40,31.80,31.19,31.48,8127501
9-May-17,31.25,31.32,30.86,31.09,7387082
8-May-17,31.05,31.42,30.84,31.24,6467452
5-May-17,30.62,31.15,30.50,31.03,9711977
4-May-17,30.00,30.64,29.82,30.61,14074206
3-May-17,30.52,30.58,29.39,30.18,19413436
2-May-17,33.22,33.27,31.16,31.42,9479231
1-May-17,32.18,32.38,31.87,32.30,6917231
28-Apr-17,32.90,32.93,32.26,32.33,5116504
27-Apr-17,33.85,33.85,32.38,32.57,10691369
26-Apr-17,34.19,34.95,34.12,34.16,2855564
25-Apr-17,34.30,34.54,34.12,34.43,3831105
24-Apr-17,34.42,34.62,34.08,34.17,9717004
21-Apr-17,33.93,34.48,33.86,34.15,3926902
20-Apr-17,33.80,34.48,33.65,34.18,5062275
19-Apr-17,34.29,34.35,33.53,33.62,4616416
18-Apr-17,34.91,35.18,34.10,34.12,5262739
17-Apr-17,35.06,35.51,34.84,35.36,4786182
13-Apr-17,35.15,35.52,34.76,34.92,4848116
12-Apr-17,35.19,35.74,35.03,35.24,3954392
11-Apr-17,35.28,35.28,34.66,35.24,2970489
10-Apr-17,34.77,35.58,34.72,35.31,3931930
7-Apr-17,34.69,34.93,34.50,34.58,3003515
6-Apr-17,34.35,34.85,34.18,34.69,2475521
