Date,Open,High,Low,Close,Volume
31-May-17,53.43,53.63,52.68,52.95,5790187
30-May-17,53.26,53.48,53.15,53.34,3288101
26-May-17,52.88,53.30,52.78,53.19,2140299
25-May-17,53.00,53.36,52.86,53.28,2019033
24-May-17,52.81,52.94,52.32,52.81,2727690
23-May-17,52.40,53.30,52.40,52.84,3335239
22-May-17,53.10,53.21,52.62,52.79,2351323
19-May-17,51.92,53.17,51.63,52.80,4858315
18-May-17,52.10,52.10,51.17,51.87,2841127
17-May-17,52.73,52.96,52.11,52.17,3907149
16-May-17,53.00,53.26,52.83,53.07,2912352
15-May-17,52.75,53.12,52.73,53.00,6995950
12-May-17,53.44,53.46,52.59,52.69,3465201
11-May-17,53.00,53.54,52.73,53.46,4589969
10-May-17,52.82,53.18,52.50,53.08,3853934
9-May-17,52.41,53.05,51.80,52.88,6462834
8-May-17,51.20,52.87,50.85,51.93,14281099
5-May-17,45.99,46.46,45.85,46.39,4944169
4-May-17,45.55,46.06,45.19,45.85,4256555
3-May-17,46.00,46.19,45.25,45.48,3477459
2-May-17,45.94,46.36,45.72,45.97,6790833
1-May-17,47.18,47.69,45.62,46.00,9927019
28-Apr-17,48.47,48.53,47.52,47.74,3617094
27-Apr-17,49.08,49.19,48.58,48.65,2857179
26-Apr-17,48.64,49.27,48.42,49.06,3693838
25-Apr-17,48.17,48.68,48.02,48.52,2214882
24-Apr-17,47.74,48.28,47.74,48.00,4527010
21-Apr-17,47.00,47.78,46.85,47.35,3996636
20-Apr-17,46.50,47.17,46.04,47.10,3557181
19-Apr-17,46.45,46.85,46.12,46.31,2543037
18-Apr-17,46.31,46.34,45.98,46.27,2152718
17-Apr-17,46.04,46.54,46.01,46.47,1439078
13-Apr-17,46.10,46.31,45.98,46.02,1681495
12-Apr-17,46.22,46.44,45.98,46.17,2485373
11-Apr-17,46.76,46.83,46.18,46.27,3110690
10-Apr-17,46.28,46.82,46.12,46.77,3256797
7-Apr-17,46.12,46.39,46.00,46.22,2632070
6-Apr-17,45.80,46.30,45.74,46.10,2505093
5-Apr-17,46.21,46.44,45.67,45.90,3463916
4-Apr-17,46.95,47.09,46.06,46.18,3574399
3-Apr-17,47.15,47.35,46.59,46.98,3694862
31-Mar-17,47.26,47.64,47.15,47.17,4098425
30-Mar-17,47.60,47.93,47.23,47.36,2115229
29-Mar-17,47.65,47.78,47.27,47.73,2668786
28-Mar-17,47.67,48.04,47.24,47.70,2227664
27-Mar-17,47.46,47.80,46.95,47.71,4298105
24-Mar-17,47.90,48.13,47.56,47.67,2437243
23-Mar-17,47.90,48.37,47.57,47.89,3875277
22-Mar-17,48.45,48.52,47.71,48.09,2856913
21-Mar-17,48.88,49.13,48.40,48.48,3101329
20-Mar-17,48.49,48.78,48.29,48.57,2169893
17-Mar-17,48.68,48.75,48.28,48.42,3317671
16-Mar-17,48.96,49.19,47.99,48.41,2736470
15-Mar-17,48.02,49.16,48.01,48.96,3305961
14-Mar-17,48.37,48.53,47.91,47.94,5678996
13-Mar-17,48.54,48.96,48.17,48.55,2647937
10-Mar-17,48.84,48.94,48.16,48.67,3617128
9-Mar-17,48.68,48.90,48.17,48.44,2298356
8-Mar-17,48.44,48.77,48.05,48.75,2560851
7-Mar-17,48.80,48.90,48.38,48.53,4045366
6-Mar-17,49.07,49.21,48.89,48.98,2204717
3-Mar-17,49.30,49.44,49.06,49.34,2620625
2-Mar-17,49.70,49.77,49.27,49.33,2375718
1-Mar-17,49.42,49.68,49.10,49.60,5008889
28-Feb-17,49.49,49.77,49.03,49.03,4434711
27-Feb-17,48.75,50.17,48.63,49.49,7966467
24-Feb-17,46.78,48.82,46.53,48.67,8205275
23-Feb-17,47.21,47.37,46.76,46.99,4076734
22-Feb-17,46.43,47.31,46.41,47.25,3314302
21-Feb-17,46.78,46.88,46.31,46.49,3299384
17-Feb-17,46.77,47.24,46.53,46.64,3771694
16-Feb-17,47.32,47.81,46.84,46.88,2478256
15-Feb-17,47.48,47.60,47.12,47.27,3219744
14-Feb-17,46.90,47.56,46.87,47.53,3489013
13-Feb-17,47.20,47.53,46.56,47.06,3372436
10-Feb-17,46.38,47.20,45.93,46.99,7858977
9-Feb-17,46.25,46.52,45.82,46.33,4018830
8-Feb-17,45.84,46.30,45.35,46.17,5961219
7-Feb-17,44.44,45.94,44.39,45.52,8683345
6-Feb-17,44.95,45.22,43.43,44.23,15093608
3-Feb-17,47.68,47.83,46.81,46.89,6916117
2-Feb-17,47.42,47.96,47.08,47.81,4524776
1-Feb-17,47.30,47.58,46.91,47.45,3928055
31-Jan-17,46.02,47.34,45.95,47.33,3931675
30-Jan-17,46.10,46.30,45.52,46.28,3931935
