Date,AAPL,ALPB,AMZN,FB,MSFT
2007-06-01,16.91,250.2,68.58,,30.59
2007-06-04,17.33,253.535,70.42,,30.72
2007-06-05,17.52,259.42,73.65,,30.58
2007-06-06,17.66,259.125,72.29,,30.29
2007-06-07,17.72,257.53,72.04,,29.62
2007-06-08,17.78,257.745,73.24,,30.05
2007-06-11,17.17,255.67000000000002,71.17,,30.02
2007-06-12,17.2,252.385,70.07,,29.85
2007-06-13,16.79,252.62,70.89,,30.39
2007-06-14,16.96,251.42,71.94,,30.52
2007-06-15,17.21,252.945,72.4,,30.49
2007-06-18,17.87,257.6,71.83,,30.51
2007-06-19,17.67,257.155,69.81,,30.46
2007-06-20,17.36,254.985,69.1,,30.01
2007-06-21,17.7,257.055,69.67,,30.22
2007-06-22,17.57,262.49,68.86,,29.49
2007-06-25,17.48,263.71000000000004,68.66,,29.49
2007-06-26,17.09,265.13,67.48,,29.52
2007-06-27,17.41,263.145,68.14,,29.87
2007-06-28,17.22,262.505,68.89,,29.83
2007-06-29,17.43,261.35,68.41,,29.47
2007-07-02,17.32,265.19,69.61,,29.74
2007-07-03,18.17,267.16999999999996,69.45,,30.02
2007-07-05,18.96,270.815,68.73,,29.99
2007-07-06,18.9,269.70000000000005,68.97,,29.97
2007-07-09,18.62,271.28,72.07,,29.87
2007-07-10,18.91,271.66999999999996,70.28,,29.33
2007-07-11,18.91,272.235,70.73,,29.49
2007-07-12,19.15,272.66499999999996,72.79,,30.07
2007-07-13,19.68,276.08000000000004,75.1,,29.82
2007-07-16,19.73,276.495,73.69,,30.03
2007-07-17,19.84,277.5,73.79,,30.78
2007-07-18,19.73,274.75,73.32,,30.92
2007-07-19,20.0,274.29499999999996,73.35,,31.51
2007-07-20,20.54,260.06,71.63,,31.16
2007-07-23,20.53,256.255,71.74,,31.19
2007-07-24,19.27,257.0,69.25,,30.8
2007-07-25,19.61,254.88,86.18,,30.71
2007-07-26,20.86,254.0,84.01,,29.98
2007-07-27,20.55,255.945,84.04,,29.39
2007-07-30,20.2,258.055,82.7,,29.4
2007-07-31,18.82,254.995,78.54,,28.99
2007-08-01,19.29,256.47,77.31,,29.3
2007-08-02,19.5,255.505,79.71,,29.52
2007-08-03,18.84,251.5,76.8,,28.96
2007-08-06,19.32,254.995,79.0,,29.54
2007-08-07,19.29,258.01,79.14,,29.55
2007-08-08,19.14,262.89,77.78,,30.0
2007-08-09,18.06,257.365,74.11,,29.3
2007-08-10,17.86,257.875,74.78,,28.71
2007-08-13,18.26,257.75,74.87,,28.63
2007-08-14,17.72,254.3,73.45,,28.27
2007-08-15,17.13,248.775,72.38,,28.1
2007-08-16,16.72,245.76,72.79,,27.81
2007-08-17,17.44,250.02,75.02,,28.25
2007-08-20,17.46,248.96,74.7,,28.26
2007-08-21,18.22,253.305,77.49,,28.07
2007-08-22,18.93,256.375,78.5,,28.22
2007-08-23,18.72,256.095,77.3,,28.3
2007-08-24,19.33,257.5,79.25,,28.81
2007-08-27,18.89,256.63,78.65,,28.49
2007-08-28,18.12,253.2,76.22,,27.93
2007-08-29,19.15,256.44,79.05,,28.59
2007-08-30,19.46,255.7,78.68,,28.45
2007-08-31,19.78,257.625,79.91,,28.73
2007-09-04,20.59,262.575,82.7,,28.81
2007-09-05,19.54,263.9,83.75,,28.48
2007-09-06,19.29,261.76,86.21,,28.91
2007-09-07,18.82,259.675,84.52,,28.44
2007-09-10,19.53,257.24,83.34,,28.48
2007-09-11,19.36,260.66499999999996,86.28,,28.93
2007-09-12,19.55,261.325,87.3,,28.93
2007-09-13,19.6,262.39,87.26,,29.16
2007-09-14,19.83,264.375,87.77,,29.04
2007-09-17,19.77,262.65,86.91,,28.72
2007-09-18,20.13,267.635,88.75,,28.93
2007-09-19,20.11,273.42499999999995,89.0,,28.67
2007-09-20,20.04,276.41499999999996,89.65,,28.42
2007-09-21,20.59,280.04999999999995,91.3,,28.65
2007-09-24,21.18,284.01,92.59,,29.08
2007-09-25,21.88,284.5,93.48,,29.56
2007-09-26,21.82,284.08000000000004,93.43,,29.5
2007-09-27,22.07,283.75,93.38,,29.49
2007-09-28,21.92,283.635,93.15,,29.46
2007-10-01,22.33,291.275,93.41,,29.77
2007-10-02,22.64,292.195,92.36,,29.7
2007-10-03,22.56,292.01,92.46,,29.45
2007-10-04,22.32,289.515,92.26,,29.71
2007-10-05,23.06,297.025,93.43,,29.84
2007-10-08,23.99,304.81,95.85,,29.84
2007-10-09,23.98,307.59,95.32,,30.1
2007-10-10,23.83,312.695,94.66,,30.23
2007-10-11,23.18,311.0,89.34,,29.91
2007-10-12,23.89,318.695,92.37,,30.17
2007-10-15,23.85,310.055,90.53,,30.04
2007-10-16,24.23,308.0,89.53,,30.32
2007-10-17,24.68,316.74,90.55,,31.08
2007-10-18,24.79,319.81,89.85,,31.16
2007-10-19,24.35,322.355,89.76,,30.17
2007-10-22,24.91,325.375,91.29,,30.51
2007-10-23,26.59,337.885,100.82,,30.9
2007-10-24,26.56,337.90999999999997,88.73,,31.25
2007-10-25,26.11,334.255,88.21,,31.99
2007-10-26,26.39,337.29999999999995,90.0,,35.03
2007-10-29,26.44,339.615,90.1,,34.57
2007-10-30,26.71,347.385,88.24,,35.57
2007-10-31,27.14,353.5,89.15,,36.81
2007-11-01,26.78,351.605,87.65,,37.06
2007-11-02,26.84,355.625,85.98,,37.06
2007-11-05,26.6,362.825,84.37,,36.73
2007-11-06,27.4,370.895,87.27,,36.41
2007-11-07,26.61,366.47,87.04,,35.52
2007-11-08,25.07,346.91999999999996,83.58,,34.74
2007-11-09,23.62,331.985,78.89,,33.73
2007-11-12,21.97,316.035,77.0,,33.38
2007-11-13,24.28,330.275,79.86,,34.46
2007-11-14,23.73,320.84000000000003,78.51,,33.93
2007-11-15,23.47,314.825,77.85,,33.76
2007-11-16,23.77,316.815,78.6,,34.09
2007-11-19,23.42,312.925,79.18,,33.96
2007-11-20,24.12,324.27,80.39,,34.58
2007-11-21,24.07,330.26,79.76,,34.23
2007-11-23,24.51,338.35,81.43,,34.11
2007-11-26,24.65,333.0,81.3,,32.97
