Date,Open,High,Low,Close,Volume
2007-06-01,43.28,43.36,42.86,42.95,2176100
2007-06-04,43.84,43.84,42.66,42.83,1718400
2007-06-05,43.59,43.71,42.54,42.87,2114400
2007-06-06,42.58,42.6,41.87,42.15,2120000
2007-06-07,41.88,41.88,41.05,41.25,2323800
2007-06-08,40.4,41.78,40.32,41.62,2004300
2007-06-11,41.46,42.15,41.46,41.92,1704400
2007-06-12,41.67,42.65,41.6,42.23,3012500
2007-06-13,42.4,42.9,42.01,42.44,2141100
2007-06-14,41.55,42.88,41.55,42.5,2363600
2007-06-15,42.68,43.22,42.68,42.93,2309600
2007-06-18,42.51,43.02,42.38,42.83,2840100
2007-06-19,42.9,43.5,42.85,43.13,2502000
2007-06-20,43.09,43.15,41.81,41.82,1563100
2007-06-21,41.5,41.79,41.28,41.71,2240700
2007-06-22,41.54,41.95,41.35,41.45,1740600
2007-06-25,41.48,41.84,40.95,41.0,1838800
2007-06-26,41.25,41.44,40.48,40.63,2960500
2007-06-27,40.4,41.9,40.25,41.7,3219000
2007-06-28,42.18,42.27,41.72,41.79,2425400
2007-06-29,41.72,42.09,41.59,42.0,2888000
2007-07-02,42.39,43.18,42.22,43.13,2711000
2007-07-03,43.13,43.26,42.76,42.82,937600
2007-07-05,42.84,43.01,42.55,42.75,1286700
2007-07-06,42.63,43.57,42.37,43.49,1897900
2007-07-09,43.38,43.57,43.03,43.27,1307000
2007-07-10,42.95,43.15,42.29,42.39,2087200
2007-07-11,42.25,42.65,41.99,42.6,3414300
2007-07-12,42.81,44.3,42.74,44.28,2893200
2007-07-13,44.55,44.57,43.96,44.42,1222100
2007-07-16,44.21,44.5,43.8,44.03,2401100
2007-07-17,44.2,44.46,43.66,43.76,2148900
2007-07-18,43.55,43.65,43.11,43.5,4106700
2007-07-19,43.91,45.28,43.75,45.15,4315900
2007-07-20,45.15,45.45,44.6,45.02,3251200
2007-07-23,45.15,45.25,44.67,44.72,2839300
2007-07-24,44.15,44.47,43.39,43.42,2610900
2007-07-25,43.6,44.19,42.88,43.0,2187900
2007-07-26,42.43,42.58,40.9,41.44,3772600
2007-07-27,41.25,41.94,40.68,40.83,5081700
2007-07-30,41.1,42.42,41.06,42.29,4048300
2007-07-31,42.65,43.11,41.56,41.66,3167500
2007-08-01,41.49,42.16,39.61,40.34,4703600
2007-08-02,41.0,42.04,39.98,41.49,6165000
2007-08-03,41.5,41.8,39.98,40.12,4218900
2007-08-06,40.21,40.65,38.83,40.19,5181400
2007-08-07,39.9,41.3,39.48,41.0,3450000
2007-08-08,41.55,42.49,41.01,41.69,4403200
2007-08-09,40.5,41.67,40.25,41.11,6067400
2007-08-10,40.58,41.03,39.61,40.69,3002600
2007-08-13,41.58,41.9,40.3,40.37,2656900
2007-08-14,40.55,41.0,39.36,39.5,2766400
2007-08-15,39.19,39.45,37.52,38.04,5792600
2007-08-16,38.25,38.3,36.34,37.2,5777000
2007-08-17,39.05,39.72,37.8,39.63,6285200
2007-08-20,39.9,40.14,38.59,38.84,2498200
2007-08-21,38.66,38.73,37.87,37.98,3689400
2007-08-22,38.33,39.61,38.25,39.37,3865700
2007-08-23,39.6,39.84,38.44,38.85,2425100
2007-08-24,39.08,39.75,38.85,39.64,1581500
2007-08-27,39.34,39.66,39.08,39.45,1144400
2007-08-28,39.1,39.18,38.36,38.64,2020300
2007-08-29,38.85,39.3,38.34,39.12,2140200
2007-08-30,38.69,39.25,38.5,38.73,2776100
2007-08-31,39.01,40.0,38.83,39.62,2782800
2007-09-04,39.3,40.33,39.06,40.05,2314200
2007-09-05,39.82,39.95,38.82,39.01,3311600
2007-09-06,39.13,39.29,38.37,38.46,2567200
2007-09-07,37.69,38.28,37.65,38.12,1754200
2007-09-10,38.17,38.25,37.28,37.79,1986800
2007-09-11,37.86,39.23,37.86,39.18,1999300
2007-09-12,38.97,39.41,38.29,38.31,2006000
2007-09-13,38.39,39.27,38.36,39.18,2310100
2007-09-14,38.97,39.59,38.74,39.56,2010200
2007-09-17,39.78,40.67,39.7,40.54,3063300
2007-09-18,40.48,41.68,40.0,41.46,3345500
2007-09-19,41.8,42.08,41.17,41.4,2134000
2007-09-20,41.08,42.02,41.08,41.81,1662500
2007-09-21,41.87,42.61,41.87,42.23,1880700
2007-09-24,42.39,43.2,42.08,42.18,2584000
2007-09-25,41.93,42.52,41.68,42.23,2332600
2007-09-26,42.31,43.05,42.31,42.93,1709800
2007-09-27,43.3,43.98,43.15,43.84,2750300
2007-09-28,43.7,44.18,43.1,43.54,1689500
2007-10-01,43.52,44.24,43.48,44.13,3798300
2007-10-02,44.07,44.16,42.68,42.8,2591800
2007-10-03,42.72,43.74,42.41,42.62,1848900
2007-10-04,42.75,43.5,42.4,43.35,2959200
2007-10-05,43.64,44.0,42.53,42.75,2506100
2007-10-08,42.52,42.73,41.99,42.4,1580600
2007-10-09,42.6,42.79,42.18,42.79,1391600
2007-10-10,42.76,42.95,42.44,42.64,1147900
2007-10-11,42.73,43.79,42.72,43.47,2848300
2007-10-12,43.8,43.94,43.26,43.67,1580600
2007-10-15,43.57,43.89,42.71,43.05,1398400
2007-10-16,42.9,43.3,42.17,42.56,1813100
2007-10-17,42.6,42.9,42.11,42.7,2049700
2007-10-18,42.45,42.84,42.25,42.72,2207100
2007-10-19,42.74,42.98,41.51,41.78,2277200
2007-10-22,41.35,42.5,41.35,42.38,1558700
2007-10-23,42.5,43.44,42.5,43.24,1558200
2007-10-24,43.24,43.37,42.33,43.37,1880500
2007-10-25,43.63,44.68,43.25,44.63,3352800
2007-10-26,44.77,45.63,44.77,45.28,3817100
2007-10-29,45.19,46.53,45.19,46.34,3992600
2007-10-30,46.12,46.2,44.89,44.95,2608600
2007-10-31,44.65,44.65,43.55,44.18,3909200
2007-11-01,43.79,44.43,42.19,43.9,3199700
2007-11-02,45.4,45.4,43.5,45.24,2360200
2007-11-05,45.05,45.7,44.63,45.18,1608400
2007-11-06,45.25,46.05,44.68,45.87,2312300
2007-11-07,44.69,45.42,43.61,44.13,3737700
2007-11-08,44.06,44.25,42.36,43.19,3383200
2007-11-09,44.0,44.0,41.93,42.24,10067700
2007-11-12,42.17,43.06,41.5,42.13,5037100
2007-11-13,42.45,43.29,42.4,42.66,7316400
2007-11-14,42.95,43.71,42.55,43.43,4594000
2007-11-15,43.49,44.49,42.8,44.25,6263000
2007-11-16,44.34,45.6,44.31,45.0,43687800
2007-11-19,44.98,45.42,44.52,44.86,6490300
2007-11-20,44.5,45.37,43.35,44.03,8777400
2007-11-21,43.58,44.03,43.11,43.6,4318000
2007-11-23,43.8,44.5,43.74,44.13,1190500
2007-11-26,44.22,44.97,43.77,43.85,3107600
2007-11-27,44.0,44.28,43.45,43.96,4384400
2007-11-28,44.2,45.09,44.06,44.63,4730400
2007-11-29,44.4,45.82,44.25,45.54,5780000
2007-11-30,45.95,46.2,45.05,45.54,2570000
2007-12-03,45.22,45.62,44.75,44.92,3406600
2007-12-04,44.39,44.39,42.36,42.45,5960800
2007-12-05,42.11,43.3,41.76,42.83,4226400
2007-12-06,42.81,43.08,41.72,42.15,4370100
2007-12-07,42.15,43.1,41.75,42.68,3813300
2007-12-10,42.88,43.48,42.88,43.22,2084000
2007-12-11,43.35,43.47,42.36,42.42,2763600
2007-12-12,43.29,43.29,41.26,41.9,4324900
2007-12-13,41.65,41.83,40.34,40.94,4443800
2007-12-14,40.77,41.05,40.19,40.85,4615000
2007-12-17,40.59,41.1,40.08,40.15,4141600
2007-12-18,40.56,41.35,40.08,41.0,4041300
2007-12-19,41.26,41.91,40.95,41.56,2623700
2007-12-20,41.92,41.93,40.98,41.57,1898900
2007-12-21,41.98,42.51,41.6,42.18,3174600
2007-12-24,42.08,42.67,42.08,42.52,609200
2007-12-26,42.73,43.23,42.35,42.89,1247400
2007-12-27,43.07,43.17,42.1,42.38,1235700
2007-12-28,42.88,42.88,42.05,42.42,974000
2007-12-31,42.25,42.72,41.96,42.6,1535300
2008-01-02,42.49,42.72,41.05,41.24,3093000
2008-01-03,41.1,41.25,39.96,40.46,4469700
2008-01-04,40.0,40.21,39.1,39.38,4725800
2008-01-07,39.43,39.75,38.02,39.15,3455800
2008-01-08,39.43,39.97,37.9,38.0,3184300
2008-01-09,38.05,38.5,37.32,38.5,3715500
2008-01-10,38.17,39.67,38.09,39.33,3053200
2008-01-11,39.34,40.11,38.64,39.03,3590300
2008-01-14,39.41,40.07,39.11,39.97,3118700
2008-01-15,39.55,40.2,38.7,39.06,4436400
2008-01-16,38.76,39.41,38.28,38.36,4313900
2008-01-17,38.55,39.15,38.05,38.35,10439500
2008-01-18,38.67,38.74,34.76,36.64,12255000
2008-01-22,34.8,36.15,32.1,35.91,7272800
2008-01-23,34.8,35.97,32.41,35.92,12811000
2008-01-24,35.91,38.23,35.85,38.0,5916800
2008-01-25,38.29,38.51,36.1,36.18,5363400
2008-01-28,36.31,36.99,36.0,36.92,3526400
2008-01-29,37.11,39.29,37.07,38.81,5320200
2008-01-30,38.73,39.5,37.5,37.69,5416300
2008-01-31,37.18,37.85,36.52,37.43,7376600
2008-02-01,37.39,38.78,36.88,38.65,3863100
2008-02-04,38.65,38.85,38.19,38.56,3848500
2008-02-05,38.09,38.56,36.95,36.95,3736300
2008-02-06,37.55,38.88,37.52,37.74,5663600
2008-02-07,37.29,37.73,36.33,37.11,4133300
2008-02-08,36.85,38.19,36.82,37.61,2744700
2008-02-11,37.91,38.82,37.46,38.68,3771300
2008-02-12,38.85,39.67,38.56,39.31,3412800
2008-02-13,39.95,40.09,38.65,39.81,2674300
2008-02-14,39.61,39.79,38.64,38.84,2645300
2008-02-15,38.62,39.02,38.21,38.94,1881200
2008-02-19,39.47,39.7,38.93,39.14,3129300
2008-02-20,38.8,39.78,38.61,39.48,3192400
2008-02-21,39.54,39.75,38.8,38.93,2203100
2008-02-22,39.16,40.18,38.5,39.8,4610600
2008-02-25,40.3,40.59,39.39,40.15,3143600
2008-02-26,39.89,41.56,39.51,41.1,3608700
2008-02-27,40.76,41.21,40.13,40.37,2437300
2008-02-28,40.3,40.99,40.12,40.58,2708300
2008-02-29,40.21,40.23,38.08,38.44,5734300
2008-03-03,38.41,38.49,37.71,38.06,3370500
2008-03-04,37.66,37.9,36.88,37.64,4628100
2008-03-05,37.64,38.48,37.49,38.02,3826100
2008-03-06,37.98,38.0,37.14,37.18,2457300
2008-03-07,36.81,37.57,36.16,36.79,3017100
2008-03-10,36.72,36.72,35.45,35.5,3118500
2008-03-11,36.23,36.9,35.48,36.84,3865100
2008-03-12,36.99,37.14,36.27,36.36,2261900
2008-03-13,35.93,37.85,35.58,37.31,4817900
2008-03-14,37.43,37.65,36.52,37.39,5093600
2008-03-17,36.66,37.94,36.53,37.7,6080900
2008-03-18,38.41,39.32,37.7,39.21,5764200
2008-03-19,39.47,40.01,38.94,38.97,5000200
2008-03-20,39.02,39.61,38.59,39.15,4518300
2008-03-24,39.15,40.7,39.0,40.06,4112800
2008-03-25,40.0,40.19,39.31,39.98,3492600
2008-03-26,39.69,41.05,39.56,40.54,3128200
2008-03-27,40.37,41.3,40.23,40.49,3058700
2008-03-28,40.49,40.65,38.68,38.94,4086100
2008-03-31,39.18,39.42,38.32,39.21,3906500
2008-04-01,39.48,40.22,39.03,39.96,3334200
2008-04-02,40.26,40.87,40.04,40.33,3134900
2008-04-03,40.19,41.61,39.96,41.01,3677500
2008-04-04,41.0,41.11,40.47,40.66,2245500
2008-04-07,40.74,41.0,39.7,40.03,3602000
2008-04-08,39.83,40.55,39.72,40.53,3164700
2008-04-09,40.37,40.71,39.27,39.63,2547700
2008-04-10,39.99,39.99,38.96,39.48,3121000
2008-04-11,39.09,39.39,38.74,38.94,3527800
2008-04-14,38.78,39.61,38.6,39.0,2001200
2008-04-15,39.18,39.39,38.53,38.86,2568800
2008-04-16,39.32,40.07,39.12,40.01,3187200
2008-04-17,39.96,40.4,39.48,39.85,1875400
