Date,Open,High,Low,Close,Volume
2009-02-11,26.0,27.07,25.9,26.43,21745929
2009-02-12,26.36,27.19,26.0,27.16,3970823
2009-02-13,26.77,27.19,26.67,26.81,1064704
2009-02-17,26.44,27.63,26.3,27.26,1264601
2009-02-18,27.63,28.22,27.2,27.95,1465712
2009-02-19,27.91,28.98,27.88,28.56,1156109
2009-02-20,28.43,29.63,27.87,29.63,1547739
2009-02-23,29.66,29.85,27.27,27.3,1100422
2009-02-24,27.41,28.0,27.06,27.49,911239
2009-02-25,27.82,28.35,26.85,27.92,984949
2009-02-26,28.27,28.3,27.0,27.56,601523
2009-02-27,27.35,27.85,27.02,27.59,456980
2009-03-02,27.6,27.84,26.86,27.0,585346
2009-03-03,27.26,27.3,26.0,26.44,750003
2009-03-04,26.97,27.45,26.72,27.0,544541
2009-03-05,27.0,27.19,26.61,27.03,910558
2009-03-06,26.9,27.18,26.25,26.44,526158
2009-03-09,26.25,27.1,26.12,26.36,166470
2009-03-10,26.37,27.13,26.3,26.46,251581
2009-03-11,26.25,26.98,26.16,26.58,812139
2009-03-12,26.36,28.02,26.35,27.98,1003532
2009-03-13,28.25,28.33,27.34,27.42,430120
2009-03-16,27.7,27.7,26.21,26.32,437343
2009-03-17,26.3,27.6,26.25,27.54,336744
2009-03-18,27.15,27.75,27.02,27.58,333643
2009-03-19,27.4,27.76,27.11,27.42,326674
2009-03-20,27.57,28.38,27.13,27.67,442186
2009-03-23,27.77,27.97,26.5,27.37,623317
2009-03-24,26.96,27.5,26.51,27.1,742233
2009-03-25,26.99,28.0,26.76,27.28,557176
2009-03-26,27.26,27.7,26.75,27.55,462277
2009-03-27,27.25,27.75,27.15,27.53,331923
2009-03-30,26.91,28.0,26.71,27.28,516576
2009-03-31,27.73,28.98,27.55,28.87,3027701
2009-04-01,28.86,28.86,27.68,27.88,760410
2009-04-02,28.38,28.43,27.08,27.35,517399
2009-04-03,27.48,27.58,27.06,27.35,370544
2009-04-06,27.05,28.08,26.81,28.05,353177
2009-04-07,27.55,28.33,27.11,27.15,664243
2009-04-08,27.57,27.57,26.84,26.9,378498
2009-04-09,27.1,27.21,26.26,26.6,789415
2009-04-13,26.84,27.0,26.2,26.48,394020
2009-04-14,26.43,27.36,26.15,26.5,376978
2009-04-15,26.74,26.84,26.0,26.61,754363
2009-04-16,26.65,27.32,26.46,27.0,228744
2009-04-17,27.14,27.14,26.36,26.47,658390
2009-04-20,26.38,26.38,25.72,26.22,354503
2009-04-21,26.0,26.91,25.96,26.36,276321
2009-04-22,26.0,26.86,25.98,26.61,464354
2009-04-23,26.94,27.06,26.2,26.33,390928
2009-04-24,26.87,26.87,26.04,26.28,615242
2009-04-27,26.0,26.86,26.0,26.25,536645
2009-04-28,27.62,29.54,27.1,28.47,1585631
2009-04-29,28.98,29.05,27.75,28.96,950969
2009-04-30,28.81,29.3,28.0,28.25,571055
2009-05-01,28.29,28.45,27.75,28.36,242766
2009-05-04,28.8,30.13,28.7,30.13,383968
2009-05-05,30.44,31.0,29.05,30.8,496433
2009-05-06,31.19,31.35,28.79,29.75,906977
2009-05-07,29.98,30.05,28.82,29.97,395064
2009-05-08,30.06,30.76,29.48,30.76,490806
2009-05-11,30.44,30.86,29.74,29.95,276928
2009-05-12,29.74,30.11,29.35,29.82,188972
2009-05-13,29.9,29.96,28.02,29.45,593514
2009-05-14,29.67,29.67,28.74,28.84,392581
2009-05-15,29.24,29.24,28.8,28.82,498833
2009-05-18,28.8,29.21,28.7,29.21,162012
2009-05-19,28.77,29.86,28.52,29.42,342465
2009-05-20,29.27,29.81,28.5,28.58,316928
2009-05-21,28.1,29.78,27.7,29.73,311529
2009-05-22,29.41,29.88,29.29,29.7,97032
2009-05-26,29.59,31.17,29.56,30.74,399259
2009-05-27,30.39,31.2,30.0,30.41,269033
2009-05-28,30.74,31.0,30.23,30.42,500626
2009-05-29,30.05,31.16,29.78,31.16,920951
2009-06-01,31.28,32.68,31.16,31.8,488804
2009-06-02,31.42,32.18,31.28,32.01,359336
2009-06-03,31.48,32.19,31.48,32.0,466330
2009-06-04,31.82,32.0,30.82,31.7,263097
2009-06-05,31.47,32.07,31.01,31.96,184381
2009-06-08,32.12,32.12,31.46,31.48,111981
2009-06-09,31.89,32.0,31.52,31.92,191018
2009-06-10,31.99,31.99,30.3,30.86,397299
2009-06-11,31.18,31.36,30.83,31.19,150851
2009-06-12,31.44,31.48,30.86,31.36,220631
2009-06-15,31.51,31.67,30.75,31.35,474710
2009-06-16,31.65,31.98,31.33,31.66,381224
2009-06-17,31.78,33.76,31.52,32.25,547364
2009-06-18,32.05,32.86,31.43,32.79,895425
2009-06-19,33.05,33.05,32.01,32.3,282773
2009-06-22,32.2,32.26,31.55,31.99,225682
2009-06-23,31.76,32.04,30.44,30.9,403406
2009-06-24,30.63,31.35,30.43,31.11,249878
2009-06-25,31.0,31.76,30.37,31.6,500782
2009-06-26,31.81,32.23,31.25,31.9,474308
2009-06-29,31.9,32.11,31.01,31.3,240017
2009-06-30,31.65,32.16,30.66,31.77,639472
2009-07-01,31.81,32.29,31.51,32.18,593627
2009-07-02,31.97,32.62,31.66,31.66,1117013
