Date,Open,High,Low,Close,Volume
2007-06-01,112.95,114.12,112.43,112.8,815424
2007-06-04,112.95,117.34,112.82,116.96,995244
2007-06-05,115.86,116.05,114.12,115.59,823375
2007-06-06,115.38,115.38,112.82,113.36,747314
2007-06-07,112.91,114.32,109.05,109.45,749636
2007-06-08,108.66,110.62,108.11,110.55,461643
2007-06-11,110.68,112.62,109.84,111.27,831040
2007-06-12,111.05,112.52,110.09,110.73,625688
2007-06-13,110.3,112.07,109.61,111.5,573048
2007-06-14,111.79,113.89,111.64,113.38,534240
2007-06-15,114.68,115.66,114.21,115.41,539224
2007-06-18,116.07,116.82,115.29,116.07,465267
2007-06-19,115.39,116.5,114.75,115.16,668472
2007-06-20,115.52,115.86,111.82,111.93,562576
2007-06-21,112.55,115.38,111.91,115.2,674129
2007-06-22,114.68,114.98,111.98,112.86,888720
2007-06-25,112.41,114.05,111.39,112.45,922096
2007-06-26,111.91,112.04,107.95,108.43,1113757
2007-06-27,106.66,109.29,106.36,109.14,1543640
2007-06-28,110.25,111.39,108.55,109.29,959728
2007-06-29,110.89,112.02,110.7,111.41,651638
2007-07-02,111.48,113.21,111.48,113.21,567730
2007-07-03,113.38,113.7,112.77,113.0,302008
2007-07-05,113.3,113.89,112.21,113.54,541184
2007-07-06,114.23,114.23,112.82,113.68,445816
2007-07-09,113.48,116.89,113.32,116.43,625912
2007-07-10,115.55,116.36,114.84,115.25,503356
2007-07-11,114.8,116.05,114.32,116.0,482664
2007-07-12,116.23,117.18,115.38,117.16,673645
2007-07-13,116.89,118.07,116.79,116.95,434952
2007-07-16,116.48,116.84,114.02,114.48,444416
2007-07-17,115.59,118.23,115.59,116.12,517104
2007-07-18,116.45,119.64,116.07,119.29,530712
2007-07-19,119.73,120.14,117.8,119.57,472640
2007-07-20,119.57,119.57,116.57,117.34,585144
2007-07-23,117.61,117.79,115.52,115.93,547568
2007-07-24,113.91,114.71,111.64,112.46,700995
2007-07-25,113.98,114.36,111.88,113.95,547060
2007-07-26,111.68,113.02,109.52,111.32,905586
2007-07-27,111.05,112.62,109.2,110.27,661578
2007-07-30,110.84,111.66,108.77,110.52,639685
2007-07-31,111.43,113.98,108.82,109.18,718536
2007-08-01,116.04,117.5,109.45,113.34,1451042
2007-08-02,113.55,114.88,111.32,113.91,938112
2007-08-03,114.5,115.05,108.54,108.96,1055410
2007-08-06,108.12,109.16,105.75,108.89,935554
2007-08-07,108.61,110.16,106.55,109.59,887155
2007-08-08,110.39,113.32,107.93,110.05,1007021
2007-08-09,110.05,109.46,105.8,106.68,1436989
2007-08-10,104.2,108.45,102.54,107.82,1041363
2007-08-13,107.82,113.32,109.36,110.77,736736
2007-08-14,111.25,112.23,108.45,108.54,630481
2007-08-15,108.55,110.36,106.14,106.48,657331
2007-08-16,104.34,105.86,102.16,105.64,1101063
2007-08-17,108.93,109.91,105.73,109.11,753088
2007-08-20,108.25,108.59,105.09,107.45,548520
2007-08-21,106.04,107.86,103.2,103.88,710360
2007-08-22,105.48,107.43,104.55,106.88,635824
2007-08-23,106.96,108.0,106.57,107.62,706552
2007-08-24,107.89,110.16,107.45,110.16,371896
2007-08-27,109.48,109.48,106.7,107.45,371735
2007-08-28,106.61,107.25,104.3,105.18,511896
2007-08-29,106.07,109.32,105.52,109.09,394016
2007-08-30,107.55,108.91,105.11,105.75,802368
2007-08-31,107.91,108.96,107.05,107.27,357336
2007-09-04,107.16,113.04,107.16,112.0,620984
2007-09-05,112.07,113.77,110.91,112.38,866544
2007-09-06,114.02,115.39,112.57,114.02,514864
2007-09-07,112.16,112.75,110.96,112.3,631792
2007-09-10,112.27,113.61,109.88,112.0,543816
2007-09-11,112.7,114.11,110.48,114.0,696248
2007-09-12,113.91,116.2,113.66,115.57,787192
2007-09-13,116.07,116.38,113.88,114.14,532504
2007-09-14,114.14,116.21,112.77,115.55,441392
2007-09-17,115.27,116.59,114.11,114.2,472864
2007-09-18,114.2,118.12,113.38,117.91,738808
2007-09-19,119.11,121.2,117.66,118.12,497392
2007-09-20,118.12,120.27,117.95,119.7,463904
2007-09-21,119.86,120.75,119.11,119.66,704816
2007-09-24,119.96,123.2,119.21,122.71,927864
2007-09-25,120.93,122.39,120.0,121.64,866600
2007-09-26,122.62,123.43,120.55,122.07,489552
2007-09-27,123.0,126.02,122.89,125.98,657216
