Date,Open,High,Low,Close,Volume
2007-06-01,32.05,32.19,31.3,31.51,2034500
2007-06-04,31.52,31.39,30.89,31.3,1400700
2007-06-05,31.03,31.27,30.81,30.86,1143080
2007-06-06,30.86,30.86,30.41,30.6,1150500
2007-06-07,30.44,30.73,30.03,30.03,1517700
2007-06-08,30.03,30.23,29.79,30.18,1512700
2007-06-11,30.09,30.1,29.76,29.8,1350600
2007-06-12,29.8,29.83,29.25,29.31,1987400
2007-06-13,29.43,29.64,29.06,29.61,1923500
2007-06-14,29.61,29.68,29.0,29.2,2516060
2007-06-15,29.4,29.6,29.24,29.31,2539591
2007-06-18,29.33,29.54,29.25,29.42,1312600
2007-06-19,29.26,29.47,29.1,29.39,1678000
2007-06-20,29.39,29.9,29.41,29.43,2434300
2007-06-21,29.48,29.48,29.01,29.27,1506600
2007-06-22,29.1,29.18,28.8,29.12,1916800
2007-06-25,29.15,29.83,29.12,29.4,2151000
2007-06-26,29.29,29.68,29.28,29.38,2403940
2007-06-27,29.1,29.6,29.08,29.55,1322600
2007-06-28,29.56,29.8,29.34,29.63,1920588
2007-06-29,29.63,29.82,29.14,29.43,1554500
2007-07-02,29.43,29.77,29.52,29.77,1386246
2007-07-03,29.77,29.88,29.53,29.69,560490
2007-07-05,29.58,29.65,29.11,29.2,1740300
2007-07-06,29.26,29.6,29.09,29.52,1383200
2007-07-09,29.49,29.6,29.15,29.22,1970600
2007-07-10,29.16,29.18,28.67,28.76,2650700
2007-07-11,28.75,28.98,28.66,28.81,1881700
2007-07-12,28.82,29.21,28.69,29.21,1405500
2007-07-13,29.22,29.63,29.04,29.61,1364000
2007-07-16,29.52,29.71,29.18,29.27,1932100
2007-07-17,29.27,29.34,28.69,29.15,1718994
2007-07-18,28.86,29.03,28.23,28.71,2153200
2007-07-19,28.88,29.16,28.83,29.01,1013992
2007-07-20,28.98,28.99,28.36,28.59,2590270
2007-07-23,28.7,29.08,28.52,29.02,1509700
2007-07-24,28.75,29.33,28.55,28.57,1970194
2007-07-25,28.57,29.05,28.5,29.01,1673025
2007-07-26,28.5,28.6,26.62,26.95,8202648
2007-07-27,26.95,27.49,26.31,26.76,6189538
2007-07-30,26.67,27.05,26.19,26.97,4511000
2007-07-31,26.97,27.0,26.41,26.45,3422667
2007-08-01,26.34,26.45,25.78,26.08,4185900
2007-08-02,26.02,26.63,25.92,26.58,3020936
2007-08-03,26.69,26.75,26.05,26.21,3077295
2007-08-06,26.46,26.55,26.03,26.42,3329078
2007-08-07,26.42,27.17,26.19,27.12,4805300
2007-08-08,27.35,27.67,27.15,27.46,2756318
2007-08-09,26.96,27.12,26.46,26.46,3721216
2007-08-10,26.16,26.56,25.84,26.31,3028395
2007-08-13,26.71,27.09,26.42,26.49,1608900
2007-08-14,26.43,26.58,25.7,25.9,1868448
2007-08-15,25.97,26.21,24.92,24.93,2859863
2007-08-16,24.72,24.74,24.22,24.5,3753100
2007-08-17,25.0,25.31,24.81,25.25,2016600
2007-08-20,25.66,25.83,25.28,25.65,4241800
2007-08-21,25.5,25.65,25.36,25.46,1567700
2007-08-22,25.6,26.12,25.51,26.09,1336700
2007-08-23,26.32,26.59,25.75,25.8,1980800
2007-08-24,25.7,26.32,25.59,26.32,1337100
2007-08-27,26.16,26.61,26.1,26.43,2189550
2007-08-28,26.23,26.45,25.64,25.71,2357300
