Date,Open,High,Low,Close,Volume
2007-06-01,60.9,61.5,60.9,61.45,1155100
2007-06-04,61.41,61.62,61.11,61.52,722302
2007-06-05,61.15,61.8,60.91,60.92,955300
2007-06-06,60.92,61.02,60.09,60.16,1625500
2007-06-07,59.61,60.0,58.22,58.22,2286225
2007-06-08,58.75,59.12,58.45,59.12,1951872
2007-06-11,58.99,59.49,58.8,59.2,941377
2007-06-12,58.9,59.39,58.59,58.66,1219095
2007-06-13,58.71,59.79,58.63,59.79,1138600
2007-06-14,59.75,60.03,59.56,59.7,714500
2007-06-15,60.25,60.67,59.8,59.86,1000200
2007-06-18,59.86,60.03,59.52,59.75,598661
2007-06-19,59.4,59.66,59.26,59.42,922200
2007-06-20,59.8,59.8,58.34,58.34,1043400
2007-06-21,58.0,58.89,57.61,58.82,993900
2007-06-22,58.48,58.77,57.05,57.33,2812193
2007-06-25,57.34,58.33,56.84,57.18,1096586
2007-06-26,57.53,58.08,57.13,57.21,1074900
2007-06-27,56.6,58.09,56.56,58.06,1008000
2007-06-28,57.9,59.06,57.72,58.41,1505141
2007-06-29,58.44,59.05,57.93,58.29,1181600
2007-07-02,60.0,60.34,59.55,60.0,1280168
2007-07-03,60.06,60.18,59.9,60.05,606300
2007-07-05,60.0,60.26,59.84,60.03,1134400
2007-07-06,60.0,60.08,59.78,60.06,894400
2007-07-09,60.0,60.62,60.0,60.35,915000
2007-07-10,61.44,61.44,60.46,60.5,2374649
2007-07-11,60.25,61.27,60.25,61.2,1322500
2007-07-12,61.31,61.99,61.13,61.99,880700
2007-07-13,61.94,62.18,61.75,61.86,720600
2007-07-16,61.55,62.22,61.55,61.79,691650
2007-07-17,61.7,62.05,61.51,61.55,1026400
2007-07-18,61.2,61.59,60.92,61.45,1212241
2007-07-19,61.85,62.0,61.56,61.92,910306
2007-07-20,61.83,61.83,60.94,61.03,2038265
2007-07-23,61.25,61.35,60.88,60.94,1348725
2007-07-24,60.6,61.06,59.18,59.28,1683752
2007-07-25,59.55,59.86,58.74,59.53,2206808
2007-07-26,59.0,59.07,57.15,58.07,1937769
2007-07-27,57.96,58.2,55.87,55.99,3245714
2007-07-30,56.3,56.95,55.2,55.81,2964901
2007-07-31,57.45,58.01,56.31,56.39,1940045
2007-08-01,56.4,56.8,54.9,56.52,2210165
2007-08-02,56.51,57.48,55.52,56.08,1676866
2007-08-03,56.1,56.2,52.75,52.77,2143939
2007-08-06,52.9,56.23,52.66,56.23,2663170
2007-08-07,55.55,56.2,54.14,55.24,2392700
2007-08-08,55.42,56.68,55.23,56.36,2600200
2007-08-09,55.95,56.15,52.77,52.88,3540634
2007-08-10,52.95,55.91,51.52,55.67,2615148
2007-08-13,56.77,57.43,56.43,56.88,2640200
2007-08-14,57.15,57.57,54.35,54.35,1312700
2007-08-15,54.12,55.38,52.95,53.06,1744767
2007-08-16,52.85,54.39,52.26,54.35,2216637
2007-08-17,56.42,57.81,55.16,56.99,1926500
2007-08-20,57.2,57.77,55.09,55.7,1158100
2007-08-21,55.4,56.38,54.94,55.25,990600
2007-08-22,55.75,57.5,55.75,57.3,1110500
2007-08-23,57.6,57.6,56.3,56.63,996200
2007-08-24,56.7,57.59,56.18,57.55,702800
2007-08-27,57.3,57.4,56.54,56.54,473200
2007-08-28,56.0,56.05,54.08,54.2,1339800
2007-08-29,54.65,55.9,54.19,55.9,995200
2007-08-30,55.62,55.87,54.62,54.82,735100
2007-08-31,55.38,55.96,54.93,55.49,709000
2007-09-04,55.58,57.04,55.44,56.56,1062400
2007-09-05,55.71,56.36,55.5,55.82,1636000
2007-09-06,55.71,56.04,55.47,55.95,878700
2007-09-07,55.05,55.82,54.99,55.13,847500
2007-09-10,55.32,55.32,54.29,54.65,836000
2007-09-11,55.2,55.92,54.85,55.83,959000
2007-09-12,55.5,56.11,55.3,55.73,648400
2007-09-13,56.21,57.52,56.16,57.06,673800
2007-09-14,56.72,58.22,56.58,57.79,1086900
2007-09-17,57.5,57.6,56.97,57.37,926200
2007-09-18,57.55,61.06,57.55,61.02,1547895
2007-09-19,61.6,61.83,60.14,60.49,925100
2007-09-20,60.49,61.01,59.84,59.96,782800
2007-09-21,60.45,60.45,59.56,59.94,1116700
2007-09-24,59.88,60.34,59.34,59.41,605200
2007-09-25,59.33,59.99,59.06,59.77,775600
2007-09-26,60.0,61.28,59.85,60.78,742200
2007-09-27,61.14,62.31,60.8,62.27,932100
2007-09-28,62.33,63.24,62.33,63.09,1123400
2007-10-01,63.09,65.0,63.09,64.86,1550400
2007-10-02,64.72,65.24,63.98,64.2,1107900
2007-10-03,64.12,64.4,63.01,63.15,1239200
2007-10-04,63.55,63.76,62.7,62.75,1839700
2007-10-05,63.63,64.88,63.2,64.35,1294400
2007-10-08,64.3,64.33,63.62,63.96,555600
2007-10-09,64.25,64.87,64.08,64.87,1167200
2007-10-10,64.75,64.88,64.23,64.68,885300
2007-10-11,64.9,66.1,64.85,65.36,1589800
2007-10-12,65.04,65.72,65.04,65.56,869032
2007-10-15,65.63,65.75,63.77,64.22,916600
2007-10-16,64.18,64.18,62.82,63.16,1128040
2007-10-17,63.0,63.98,62.13,63.38,927100
2007-10-18,63.1,63.79,62.48,63.18,685800
2007-10-19,62.74,63.0,60.88,60.88,1131700
2007-10-22,60.65,62.55,60.55,62.5,916500
2007-10-23,62.73,62.88,61.74,62.83,533100
2007-10-24,62.74,63.0,60.59,62.47,1263100
2007-10-25,62.94,64.26,62.61,63.51,1526300
2007-10-26,64.62,65.29,63.72,65.29,801800
2007-10-29,65.41,65.47,64.77,65.46,1078100
2007-10-30,66.0,67.61,65.64,66.31,1558324
2007-10-31,66.48,68.43,66.29,67.67,1656300
2007-11-01,67.11,67.63,65.99,66.1,1212100
2007-11-02,66.52,66.92,64.39,66.44,1862900
2007-11-05,66.12,67.0,64.88,66.3,1087938
2007-11-06,66.56,67.32,65.29,67.27,1017500
2007-11-07,66.5,66.8,63.79,63.97,2184100
2007-11-08,64.16,65.72,63.49,65.55,1763700
2007-11-09,64.56,66.68,64.56,65.34,2022609
2007-11-12,64.71,68.16,64.71,66.65,1589938
2007-11-13,67.35,67.92,65.78,67.43,1792500
2007-11-14,66.42,68.19,66.42,67.6,1212623
2007-11-15,67.47,67.76,66.1,66.59,1355221
2007-11-16,66.9,67.41,65.2,66.31,2564732
2007-11-19,65.97,65.97,64.06,64.19,1869200
2007-11-20,64.16,66.48,64.11,65.89,2000000
2007-11-21,65.36,66.06,64.43,64.45,1555400
2007-11-23,64.75,66.45,64.75,66.24,352285
2007-11-26,66.11,66.16,63.65,63.84,1033780
2007-11-27,64.04,66.36,64.04,66.34,1627421
2007-11-28,66.97,70.05,66.34,69.9,2627506
2007-11-29,66.88,66.88,63.95,64.27,4107604
2007-11-30,65.0,66.62,64.77,65.49,1917403
2007-12-03,65.43,65.61,63.48,63.95,1823500
2007-12-04,63.88,63.89,61.91,63.29,2915340
2007-12-05,64.0,65.07,63.65,65.04,1483600
2007-12-06,65.02,66.38,64.51,66.37,1024975
2007-12-07,65.89,67.02,65.89,66.6,2149539
2007-12-10,66.65,68.27,66.65,67.76,1060375
