Date,Open,High,Low,Close,Volume
2007-06-01,23.08,23.37,23.05,23.2,3129596
2007-06-04,23.12,23.39,23.08,23.28,2026500
2007-06-05,23.31,23.45,23.13,23.25,3081000
2007-06-06,23.32,23.95,23.24,23.72,8939519
2007-06-07,23.8,23.9,23.17,23.22,5842633
2007-06-08,23.23,23.43,22.92,23.4,4215453
2007-06-11,23.39,23.64,23.3,23.56,4279876
2007-06-12,23.57,23.55,23.26,23.31,5176662
2007-06-13,23.37,23.37,22.93,23.25,4279400
2007-06-14,23.25,25.16,22.88,24.7,18507339
2007-06-15,24.41,24.7,23.7,23.8,11565641
2007-06-18,23.66,24.0,23.5,23.56,9500151
2007-06-19,23.56,23.85,23.51,23.8,8937430
2007-06-20,23.8,23.86,23.5,23.54,7444698
2007-06-21,23.55,23.59,23.33,23.5,7277952
2007-06-22,23.4,23.56,23.3,23.31,8278183
2007-06-25,23.37,23.59,23.29,23.43,5967890
2007-06-26,23.44,23.5,23.23,23.28,5633731
2007-06-27,23.29,23.26,22.8,23.19,6670007
2007-06-28,23.1,24.06,22.93,23.77,8767350
2007-06-29,23.94,24.11,23.77,23.93,6154725
2007-07-02,23.94,23.96,23.38,23.52,5419653
2007-07-03,23.65,24.0,23.64,23.9,2002699
2007-07-05,23.83,23.84,23.73,23.76,3284666
2007-07-06,23.76,23.95,23.64,23.87,3191456
2007-07-09,23.87,24.1,23.73,23.88,4131384
2007-07-10,23.79,23.86,23.11,23.2,5261530
2007-07-11,23.19,23.44,23.11,23.4,3796500
2007-07-12,22.5,23.4,22.38,22.69,12900672
2007-07-13,22.58,22.63,22.28,22.39,7799900
2007-07-16,22.28,22.4,22.03,22.06,4177585
2007-07-17,22.06,22.11,21.89,22.02,4067603
2007-07-18,22.34,22.34,21.82,22.14,6103225
2007-07-19,22.23,22.23,21.91,22.01,3114303
2007-07-20,21.98,22.0,21.35,21.49,5614080
2007-07-23,21.85,22.08,21.75,22.04,6348707
2007-07-24,21.93,21.93,21.35,21.4,5580318
2007-07-25,21.4,21.9,21.49,21.88,6025565
2007-07-26,21.63,21.69,21.13,21.57,7486044
2007-07-27,21.55,21.61,20.93,20.93,8714695
2007-07-30,21.04,21.04,20.66,20.88,10223829
2007-07-31,21.25,21.47,20.93,20.98,7741933
2007-08-01,20.91,21.35,20.73,21.31,5319023
2007-08-02,21.22,21.65,21.19,21.5,4030457
2007-08-03,21.41,21.61,21.0,21.06,6257191
2007-08-06,21.02,21.73,20.95,21.68,7637793
2007-08-07,21.68,21.7,21.28,21.54,9066746
2007-08-08,21.7,23.25,21.63,22.91,12581152
2007-08-09,22.91,24.0,22.3,23.4,12446125
2007-08-10,23.27,23.4,22.8,23.31,9991963
2007-08-13,23.31,23.56,22.41,22.45,6788500
2007-08-14,22.67,22.81,22.13,22.18,5656333
2007-08-15,22.23,22.67,21.94,22.03,6401930
2007-08-16,22.03,22.55,21.65,22.35,6955400
2007-08-17,24.03,24.03,21.97,22.41,8006300
2007-08-20,22.4,22.75,22.03,22.16,3999700
2007-08-21,22.16,22.53,22.09,22.44,4501000
2007-08-22,22.6,22.89,22.55,22.82,4665300
2007-08-23,22.82,23.0,22.52,22.65,3288300
2007-08-24,22.56,22.96,22.43,22.89,2197003
2007-08-27,22.88,23.02,22.61,22.73,3689013
2007-08-28,22.29,22.78,22.29,22.51,5623300
2007-08-29,21.05,21.05,20.23,20.49,6786600
2007-08-30,20.49,20.46,20.06,20.33,5682900
2007-08-31,20.51,20.65,20.22,20.34,3028800
2007-09-04,20.3,20.89,20.21,20.82,4195648
2007-09-05,20.75,20.77,20.16,20.19,4746700
2007-09-06,20.19,20.25,19.85,19.94,4049500
2007-09-07,19.7,19.87,19.5,19.65,4800300
2007-09-10,19.7,19.8,19.44,19.49,3523700
2007-09-11,19.49,19.72,19.44,19.55,5181900
2007-09-12,19.46,19.59,19.32,19.4,4057800
2007-09-13,19.55,19.82,19.47,19.75,6053300
2007-09-14,19.71,19.76,19.27,19.35,8477000
2007-09-17,19.35,19.43,18.88,19.06,6504600
2007-09-18,19.0,19.9,18.98,19.89,7359000
2007-09-19,19.95,20.04,19.7,19.88,5941214
2007-09-20,19.7,19.89,19.42,19.46,3645856
2007-09-21,19.49,19.86,19.16,19.31,6124300
2007-09-24,19.2,19.59,19.08,19.31,3123400
2007-09-25,19.24,19.37,18.96,19.12,4059900
2007-09-26,19.13,19.19,18.9,19.02,5227302
2007-09-27,19.06,19.2,18.96,19.18,3104600
2007-09-28,19.06,19.63,19.06,19.41,3900000
2007-10-01,19.41,19.6,19.28,19.49,3481300
2007-10-02,19.53,19.75,19.25,19.36,4283100
2007-10-03,19.24,19.65,19.24,19.53,3616793
2007-10-04,19.57,20.01,19.5,19.95,4549100
2007-10-05,19.92,20.19,19.76,20.03,3665477
2007-10-08,19.49,19.76,19.48,19.67,3124193
2007-10-09,19.75,20.19,19.7,20.16,10632300
2007-10-10,20.49,20.5,19.76,19.83,6574600
2007-10-11,19.51,19.83,19.25,19.43,7771380
2007-10-12,19.39,20.01,19.39,19.8,4236260
2007-10-15,19.85,20.0,19.63,19.7,4252600
2007-10-16,19.65,19.65,19.19,19.22,4623700
2007-10-17,19.28,19.34,18.78,18.86,4679500
2007-10-18,18.75,18.84,18.45,18.63,3620500
2007-10-19,18.51,18.85,18.36,18.38,5954600
2007-10-22,18.22,18.56,18.06,18.55,4570702
2007-10-23,18.57,18.6,18.29,18.46,3504800
2007-10-24,18.41,18.67,18.12,18.67,5127600
2007-10-25,18.63,18.64,18.1,18.37,3592500
2007-10-26,18.7,18.96,18.2,18.42,3709700
2007-10-29,18.42,18.59,18.29,18.41,3543900
2007-10-30,18.41,18.54,18.24,18.27,2462400
2007-10-31,18.36,18.52,18.21,18.5,5371800
2007-11-01,18.43,18.8,18.22,18.56,5865538
2007-11-02,18.61,18.61,18.01,18.21,8233907
2007-11-05,17.9,18.41,17.89,18.09,3471280
2007-11-06,18.1,18.31,17.9,18.1,3706100
2007-11-07,17.85,18.08,17.55,17.6,4279751
2007-11-08,17.69,17.97,17.53,17.9,4904001
2007-11-09,17.65,18.7,17.65,18.35,3846610
2007-11-12,18.28,19.26,18.28,18.62,6243850
2007-11-13,18.72,19.39,18.47,19.35,4989626
2007-11-14,19.5,19.66,19.25,19.41,3611398
2007-11-15,19.37,19.56,18.83,18.96,3629901
2007-11-16,19.05,19.08,18.04,18.21,5889617
2007-11-19,18.13,18.25,17.69,17.93,5831297
2007-11-20,17.99,18.39,17.45,17.81,5173510
2007-11-21,17.65,18.12,17.28,17.75,5283150
2007-11-23,17.99,17.99,17.73,17.88,1475200
2007-11-26,17.92,17.92,17.27,17.32,3537060
2007-11-27,17.38,17.73,17.26,17.6,5917196
2007-11-28,17.6,18.24,17.6,18.19,5165400
2007-11-29,18.1,18.28,17.92,18.21,3642821
2007-11-30,18.45,18.7,18.13,18.4,4858080
2007-12-03,18.64,18.64,18.14,18.34,3429175
2007-12-04,18.23,18.58,18.1,18.39,2562800
2007-12-05,18.52,18.75,18.4,18.66,3375495
2007-12-06,18.65,19.36,18.54,19.33,3132190
2007-12-07,19.33,19.46,19.24,19.35,2408299
2007-12-10,19.44,19.76,19.29,19.62,3701339
2007-12-11,19.68,19.69,18.6,18.67,4445509
2007-12-12,19.13,19.65,18.45,18.85,4183485
2007-12-13,18.7,18.88,17.82,18.31,5670219
2007-12-14,18.35,18.35,17.95,17.99,3903570
2007-12-17,17.96,18.21,17.87,18.05,3104701
2007-12-18,18.31,18.49,17.89,18.41,4347100
2007-12-19,18.38,18.47,17.87,18.08,2726480
2007-12-20,18.18,18.24,17.68,17.98,2306817
2007-12-21,18.16,18.75,18.08,18.72,5304928
2007-12-24,18.7,19.17,18.67,19.14,1321002
2007-12-26,18.86,19.19,18.75,18.96,2476990
2007-12-27,18.94,19.13,18.72,18.72,2095810
2007-12-28,18.96,19.1,18.8,18.94,2825843
2007-12-31,18.85,19.34,18.81,19.16,3207800
2008-01-02,19.03,19.12,18.41,18.48,2975005
2008-01-03,18.56,18.79,18.46,18.51,2802957
2008-01-04,18.5,19.22,18.36,18.73,4904428
2008-01-07,18.87,19.17,18.78,18.96,3964946
2008-01-08,19.03,19.25,18.18,18.23,4163378
2008-01-09,18.33,18.45,17.81,18.42,5143541
2008-01-10,18.2,19.39,18.14,19.26,6618886
2008-01-11,19.01,19.18,18.75,18.83,6254962
2008-01-14,19.02,19.24,18.48,18.74,4384716
2008-01-15,18.72,18.85,18.3,18.67,5343989
2008-01-16,18.81,19.0,18.5,18.56,8008817
2008-01-17,18.3,18.59,17.91,18.0,6283610
2008-01-18,18.19,18.31,17.42,17.76,7155404
2008-01-22,16.99,18.69,16.98,18.17,7020772
2008-01-23,17.72,19.19,17.68,19.16,6253374
2008-01-24,19.19,19.32,18.67,18.89,4844242
2008-01-25,19.16,19.27,18.33,18.34,5333598
2008-01-28,18.42,19.08,18.25,19.07,3585095
2008-01-29,19.16,19.37,18.74,19.24,3583957
2008-01-30,19.31,19.34,18.35,18.43,6197663
2008-01-31,18.03,18.79,18.03,18.55,7129867
2008-02-01,18.53,18.88,18.4,18.82,4064589
2008-02-04,18.84,18.84,18.44,18.53,2329700
2008-02-05,18.44,18.75,18.14,18.49,5043822
2008-02-06,18.58,18.8,18.46,18.54,3811418
2008-02-07,18.48,19.0,18.35,18.65,4009824
2008-02-08,18.49,18.67,18.39,18.49,4087131
2008-02-11,18.4,18.44,18.04,18.25,6154647
2008-02-12,18.41,18.58,18.25,18.4,4721985
2008-02-13,18.48,18.64,18.18,18.45,3663246
2008-02-14,18.43,18.71,18.32,18.37,4849305
2008-02-15,18.34,18.68,18.18,18.6,4844704
2008-02-19,18.78,18.83,18.4,18.44,3000240
2008-02-20,18.24,18.68,18.24,18.66,4499338
2008-02-21,18.7,18.85,18.52,18.52,4157933
2008-02-22,18.64,18.91,18.38,18.87,5103244
2008-02-25,18.84,19.34,18.71,19.29,4199848
2008-02-26,19.17,19.55,19.17,19.52,3999324
2008-02-27,19.36,19.84,19.2,19.37,4419616
2008-02-28,19.42,19.42,18.88,18.93,3899401
2008-02-29,18.66,18.81,18.24,18.33,5460669
2008-03-03,18.27,18.3,17.7,17.92,4874488
2008-03-04,17.71,17.91,17.45,17.76,7044241
2008-03-05,17.85,18.13,17.61,17.81,4129654
2008-03-06,17.69,17.77,17.32,17.35,4123095
2008-03-07,17.25,17.75,17.09,17.45,3806619
2008-03-10,17.43,17.66,17.1,17.13,4026248
2008-03-11,17.65,17.84,16.9,17.52,5832244
