Date,Open,High,Low,Close,Volume
2007-06-01,27.29,27.63,26.87,27.05,3447200
2007-06-04,27.0,27.68,26.91,27.61,2832150
2007-06-05,27.55,29.4,27.01,27.12,2280700
2007-06-06,27.01,27.01,26.29,26.37,1996860
2007-06-07,26.37,26.37,24.97,25.04,4584533
2007-06-08,25.05,25.91,24.81,25.85,3895815
2007-06-11,25.73,25.73,25.0,25.39,2653500
2007-06-12,25.1,25.14,24.5,24.65,4821100
2007-06-13,24.92,25.11,24.53,24.95,2790700
2007-06-14,25.0,25.16,24.67,24.81,2613300
2007-06-15,25.18,25.39,24.79,24.89,2497700
2007-06-18,24.89,25.03,24.67,24.8,2773700
2007-06-19,24.81,25.02,24.64,24.79,2580800
2007-06-20,24.79,25.0,24.5,24.5,3191800
2007-06-21,24.55,24.6,23.92,24.36,3512100
2007-06-22,24.09,24.24,23.71,23.8,4102700
2007-06-25,23.85,23.87,23.18,23.28,3266100
2007-06-26,23.25,23.26,22.47,22.56,4948806
2007-06-27,22.5,23.09,22.26,23.0,3934094
2007-06-28,23.01,23.01,22.55,22.66,3054378
2007-06-29,22.81,23.0,22.34,22.45,3553270
2007-07-02,22.45,22.65,22.06,22.61,4003808
2007-07-03,22.65,22.83,22.3,22.37,2088390
2007-07-05,22.42,22.63,22.04,22.14,3394300
2007-07-06,22.04,22.87,21.98,22.72,3750593
2007-07-09,22.63,22.83,22.3,22.42,3499067
2007-07-10,22.2,22.27,21.68,21.72,3910070
2007-07-11,21.65,21.82,21.35,21.78,3734327
2007-07-12,21.87,22.48,21.78,22.48,3216554
2007-07-13,22.56,23.73,22.52,23.31,5810100
2007-07-16,23.1,23.39,22.93,23.06,3131700
2007-07-17,22.96,23.21,22.63,22.71,2432150
2007-07-18,21.49,22.47,21.49,22.19,5557928
2007-07-19,22.21,22.73,22.21,22.4,2675700
2007-07-20,22.34,22.35,21.52,22.04,4745692
2007-07-23,22.02,22.05,21.17,21.24,4024561
2007-07-24,21.04,21.13,20.27,20.46,6008389
2007-07-25,20.75,21.21,20.11,20.67,5690942
2007-07-26,20.27,20.35,19.35,20.04,7513147
2007-07-27,20.04,20.35,19.44,19.6,6721245
2007-07-30,19.6,19.87,19.27,19.62,7947471
2007-07-31,19.61,20.09,19.29,19.34,6352116
2007-08-01,19.3,19.52,17.37,19.29,11091726
2007-08-02,18.98,20.28,18.98,19.99,7658376
2007-08-03,19.85,20.0,18.59,18.59,5926524
2007-08-06,18.5,18.94,17.47,18.94,7264251
2007-08-07,18.91,20.61,18.44,20.38,11113041
2007-08-08,21.06,24.25,20.8,21.85,12674900
2007-08-09,20.87,22.64,20.45,21.49,10441105
2007-08-10,20.0,21.35,20.0,20.31,8011845
2007-08-13,20.59,20.75,18.62,18.85,5289900
2007-08-14,18.85,19.03,17.16,17.42,7769433
2007-08-15,17.0,17.76,16.85,16.9,8890827
2007-08-16,16.25,18.54,15.46,17.14,15818493
2007-08-17,18.36,18.7,16.83,17.46,6607400
2007-08-20,17.32,17.68,16.84,17.38,4076000
2007-08-21,17.24,17.6,16.59,17.29,4402100
2007-08-22,17.7,17.99,17.16,17.49,3712400
2007-08-23,17.79,18.63,17.29,17.59,6153100
2007-08-24,17.62,17.78,17.24,17.53,2693100
2007-08-27,17.41,17.66,16.7,16.7,2073100
2007-08-28,16.91,16.91,15.91,15.99,4851600
2007-08-29,16.2,16.64,15.95,16.57,3956000
2007-08-30,16.25,16.61,16.07,16.25,2702900
2007-08-31,16.78,17.18,16.17,16.64,4135100
2007-09-04,16.64,17.1,16.35,16.95,3072089
2007-09-05,16.62,16.71,16.14,16.36,3324900
2007-09-06,16.36,16.49,15.82,16.08,3257500
2007-09-07,15.67,15.75,15.27,15.5,3964000
2007-09-10,15.71,15.71,14.89,15.04,3206100
2007-09-11,15.0,15.28,14.97,15.22,3331200
2007-09-12,15.13,15.44,15.02,15.17,2460300
