Date,Open,High,Low,Close,Volume
2007-06-01,152.38,154.0,151.88,152.74,422100
2007-06-04,151.96,152.82,151.06,152.42,525200
2007-06-05,151.7,152.98,151.52,152.7,363650
2007-06-06,152.72,152.72,151.0,151.54,570300
2007-06-07,150.6,151.54,147.58,147.58,555200
2007-06-08,147.6,148.64,146.32,148.44,307550
2007-06-11,147.9,148.82,146.8,148.42,344250
2007-06-12,148.42,148.52,145.88,145.9,423850
2007-06-13,147.06,148.46,146.2,148.46,257100
2007-06-14,148.16,149.8,148.16,149.04,232000
2007-06-15,151.0,151.66,149.66,149.96,399423
2007-06-18,150.06,151.18,149.4,149.62,219300
2007-06-19,148.7,149.74,148.04,149.62,288250
2007-06-20,150.02,151.1,148.42,148.42,352700
2007-06-21,148.38,149.76,147.08,149.22,243700
2007-06-22,148.36,149.56,146.86,147.16,507050
2007-06-25,147.34,148.92,146.8,147.64,416320
2007-06-26,148.7,149.76,147.34,147.78,489650
2007-06-27,146.56,150.78,146.4,150.62,495950
2007-06-28,149.86,150.0,148.62,149.08,519050
2007-06-29,149.68,153.98,149.54,152.22,752950
2007-07-02,153.22,154.3,152.7,153.9,349000
2007-07-03,153.7,153.98,153.02,153.06,126100
2007-07-05,153.06,155.54,153.06,154.86,387550
2007-07-06,154.0,154.52,153.62,154.1,277200
2007-07-09,154.48,155.78,154.06,155.76,410000
2007-07-10,154.7,155.38,153.4,153.42,462492
2007-07-11,153.42,154.78,153.22,153.9,375100
2007-07-12,154.26,156.68,153.9,156.68,469750
2007-07-13,155.88,158.0,155.62,157.62,260700
2007-07-16,157.0,158.98,156.54,157.42,352200
2007-07-17,158.54,161.22,158.3,161.18,674250
2007-07-18,159.24,161.18,157.4,160.84,648550
2007-07-19,155.3,162.84,155.26,161.0,1268693
2007-07-20,162.5,162.92,159.88,161.24,1312598
2007-07-23,161.54,164.84,160.6,164.4,685530
2007-07-24,162.34,164.5,161.26,162.4,887158
2007-07-25,163.3,163.4,158.84,160.68,836228
2007-07-26,158.94,159.5,153.2,155.4,1017538
2007-07-27,155.3,156.34,151.08,152.1,848952
2007-07-30,152.0,155.22,151.4,154.68,576000
2007-07-31,155.28,156.62,152.38,152.54,681598
2007-08-01,152.9,158.2,151.24,157.88,1196212
2007-08-02,158.06,159.42,156.2,157.12,517250
2007-08-03,157.58,158.3,152.56,152.56,628210
2007-08-06,153.76,156.12,150.54,156.12,829898
2007-08-07,154.52,156.74,152.62,155.32,610470
2007-08-08,155.18,155.8,151.86,153.0,1027829
