Date,Open,High,Low,Close,Volume
2007-06-01,54.05,54.49,53.72,54.07,659700
2007-06-04,54.07,54.16,53.78,53.85,617800
2007-06-05,53.75,54.24,53.51,53.6,495700
2007-06-06,53.5,53.53,52.48,52.7,736500
2007-06-07,51.88,52.7,51.88,52.07,699300
2007-06-08,52.0,52.52,51.8,52.35,577000
2007-06-11,52.23,52.56,51.89,52.15,408100
2007-06-12,52.08,52.4,51.85,51.86,955500
2007-06-13,52.02,52.28,51.76,52.18,780600
2007-06-14,52.21,52.86,51.68,51.84,971400
2007-06-15,52.55,53.2,52.15,52.3,1054400
2007-06-18,52.55,52.83,52.07,52.15,578900
2007-06-19,52.22,52.39,51.83,51.91,632600
2007-06-20,51.94,52.65,51.93,51.97,655200
2007-06-21,51.91,52.47,51.82,52.4,352500
2007-06-22,53.48,54.5,53.46,54.18,1368100
2007-06-25,54.3,55.89,54.25,55.44,1460700
2007-06-26,55.45,55.81,54.37,54.56,1087800
2007-06-27,54.36,54.45,53.93,54.29,911300
2007-06-28,54.18,55.07,54.0,54.55,766800
2007-06-29,54.41,54.64,53.7,53.8,608300
2007-07-02,54.19,54.59,53.5,54.0,666600
2007-07-03,54.01,54.63,54.0,54.43,191400
2007-07-05,54.39,54.66,54.09,54.35,536600
2007-07-06,54.32,54.5,53.87,54.27,591600
2007-07-09,53.89,54.57,53.79,54.53,879100
2007-07-10,54.47,54.59,54.04,54.12,805000
2007-07-11,54.08,54.88,54.05,54.86,671100
2007-07-12,54.98,55.59,54.86,55.59,750300
2007-07-13,55.6,55.69,55.27,55.62,371500
2007-07-16,55.5,55.7,55.09,55.29,567500
2007-07-17,55.19,55.44,54.91,55.12,668900
2007-07-18,55.12,55.52,54.73,55.23,470700
2007-07-19,55.45,55.68,54.7,54.74,500692
2007-07-20,54.96,55.18,53.81,54.02,788700
2007-07-23,54.18,54.4,53.44,53.56,551800
2007-07-24,53.41,53.58,52.38,52.48,627792
2007-07-25,52.47,53.05,52.06,52.53,876402
2007-07-26,53.56,53.69,52.45,53.16,1847600
2007-07-27,53.32,54.2,52.53,53.28,1805400
2007-07-30,53.31,54.58,53.05,54.29,1070422
2007-07-31,54.6,55.62,54.29,54.37,1369120
2007-08-01,54.43,55.59,54.26,55.29,1242700
2007-08-02,55.44,56.08,54.95,55.78,1666483
2007-08-03,55.57,55.94,54.37,54.52,1595100
2007-08-06,54.59,55.85,54.06,55.77,1212054
2007-08-07,55.68,57.3,55.6,56.81,1517367
2007-08-08,56.99,57.7,55.24,55.92,1691623
2007-08-09,55.92,55.45,53.97,53.97,1752700
2007-08-10,53.55,54.3,53.0,53.93,1531600
2007-08-13,53.93,55.67,54.2,55.3,1075900
2007-08-14,55.0,55.25,52.64,52.68,1379800
2007-08-15,52.73,53.8,52.0,52.0,1026300
2007-08-16,51.79,53.0,51.25,52.85,1562300
2007-08-17,53.5,55.08,52.88,53.41,1273100
2007-08-20,53.62,54.44,53.2,53.46,750400
2007-08-21,53.46,53.75,52.71,53.39,554500
2007-08-22,53.62,54.65,53.62,54.6,562400
2007-08-23,54.6,54.96,53.3,53.58,540300
2007-08-24,53.63,54.26,53.56,54.26,412700
2007-08-27,54.29,54.39,53.73,53.98,581800
2007-08-28,53.95,54.25,52.83,52.83,744900
2007-08-29,53.15,54.06,52.97,54.06,659700
2007-08-30,54.06,54.49,53.54,54.07,679600
2007-08-31,54.49,55.14,54.43,54.75,775900
2007-09-04,54.9,54.91,54.23,54.77,479500
2007-09-05,54.37,54.37,53.09,53.21,862000
2007-09-06,53.21,53.65,52.84,53.38,563800
2007-09-07,52.95,52.95,51.83,52.29,708100
2007-09-10,52.32,52.69,50.81,50.9,992291
2007-09-11,50.9,51.71,50.76,51.03,729900
2007-09-12,50.92,50.93,50.13,50.33,637800
2007-09-13,50.33,50.93,50.2,50.34,817300
