Date,Open,High,Low,Close,Volume
2007-06-01,14.4,14.58,14.36,14.56,21988132
2007-06-04,14.42,14.5,14.31,14.42,18876900
2007-06-05,14.34,14.36,14.14,14.3,21266864
2007-06-06,14.2,14.2,14.06,14.08,19621382
2007-06-07,14.01,14.08,13.62,13.72,38588118
2007-06-08,13.66,13.88,13.6,13.84,27538330
2007-06-11,13.86,13.9,13.76,13.77,14636250
2007-06-12,13.52,14.03,13.45,13.87,38150964
2007-06-13,13.94,13.96,13.72,13.88,34107844
2007-06-14,13.86,13.99,13.71,13.8,23504784
2007-06-15,13.97,14.0,13.85,13.88,27818492
2007-06-18,13.98,14.0,13.78,13.83,15986422
2007-06-19,13.81,13.82,13.66,13.8,20039030
2007-06-20,13.76,13.86,13.63,13.66,21875352
2007-06-21,13.7,13.72,13.05,13.13,78553210
2007-06-22,13.02,13.02,12.75,12.77,70269926
2007-06-25,12.84,12.88,12.61,12.83,36052546
2007-06-26,12.92,13.02,12.85,12.88,34854344
2007-06-27,12.84,13.08,12.81,13.06,27029682
2007-06-28,13.25,13.41,13.14,13.22,51075856
2007-06-29,13.29,13.33,13.02,13.12,57422718
2007-07-02,13.2,13.22,13.0,13.02,20634048
2007-07-03,13.06,13.2,13.03,13.18,15957334
2007-07-05,13.24,13.36,13.12,13.17,25762094
2007-07-06,13.2,13.3,13.1,13.28,16235922
2007-07-09,13.26,13.32,13.12,13.17,18174388
2007-07-10,13.11,13.15,13.02,13.06,25131622
2007-07-11,13.04,13.09,12.98,13.0,23130496
2007-07-12,13.08,13.1,12.82,12.98,34766904
2007-07-13,13.0,13.08,12.86,13.04,23631382
2007-07-16,13.01,13.18,12.95,13.04,14745210
2007-07-17,13.04,13.12,12.9,12.93,20703686
2007-07-18,12.91,13.27,12.88,13.25,45145598
2007-07-19,13.37,14.08,13.34,13.86,76960684
2007-07-20,14.0,14.06,13.7,13.85,38023794
2007-07-23,13.98,14.2,13.9,14.08,39400182
2007-07-24,14.16,14.25,13.98,14.14,40078626
2007-07-25,14.17,14.18,13.84,13.98,25218658
2007-07-26,13.86,13.9,13.33,13.72,49316902
2007-07-27,13.62,13.75,13.36,13.46,40574660
2007-07-30,13.42,13.56,13.24,13.49,35951426
2007-07-31,13.61,13.66,13.34,13.34,33293808
2007-08-01,13.26,13.64,13.25,13.6,43210702
2007-08-02,13.85,14.0,13.42,13.46,38749346
2007-08-03,13.46,13.48,13.15,13.16,33617874
2007-08-06,13.22,13.52,13.16,13.44,24521236
2007-08-07,13.4,13.66,13.26,13.56,22946572
2007-08-08,13.55,14.02,13.55,13.86,27993986
2007-08-09,13.75,14.26,13.68,14.02,40441988
2007-08-10,13.88,14.3,13.88,14.02,26436412
2007-08-13,14.02,14.18,13.75,13.9,23807716
2007-08-14,13.9,13.9,13.5,13.58,22731556
2007-08-15,13.5,13.66,13.25,13.28,29881182
2007-08-16,13.1,13.44,13.02,13.3,27918776
2007-08-17,13.48,13.48,13.06,13.35,32016554
2007-08-20,13.35,13.58,13.25,13.46,17096614
2007-08-21,13.4,13.72,13.38,13.68,23182712
2007-08-22,13.72,13.94,13.68,13.77,18160732
2007-08-23,13.8,13.86,13.56,13.76,17207714
2007-08-24,13.72,13.8,13.65,13.8,14682430
2007-08-27,13.76,13.8,13.66,13.68,8466160
2007-08-28,13.7,13.7,13.43,13.44,17876200
2007-08-29,13.46,13.76,13.44,13.74,14856936
2007-08-30,13.6,13.77,13.56,13.68,11798826
2007-08-31,13.8,13.89,13.74,13.78,16067802
2007-09-04,13.84,13.94,13.76,13.86,14398832
2007-09-05,13.76,13.85,13.66,13.72,14077852
2007-09-06,13.72,13.86,13.72,13.79,9987124
2007-09-07,13.67,13.74,13.5,13.58,15172692
2007-09-10,13.56,13.67,13.4,13.52,13329266
2007-09-11,13.58,13.74,13.53,13.66,11242424
2007-09-12,13.61,13.7,13.54,13.66,10660838
2007-09-13,13.65,13.85,13.62,13.74,16469264
2007-09-14,13.64,13.88,13.62,13.82,11803622
2007-09-17,13.76,13.76,13.51,13.65,15157200
2007-09-18,13.68,13.99,13.59,13.92,18125510
2007-09-19,13.9,14.1,13.8,13.89,20992232
2007-09-20,13.81,13.98,13.67,13.74,19386408
2007-09-21,13.74,13.95,13.74,13.74,25109778
2007-09-24,13.72,13.78,13.48,13.58,23378620
2007-09-25,13.48,13.6,13.42,13.54,13688602
2007-09-26,13.58,13.91,13.43,13.84,24145746
2007-09-27,13.5,13.58,13.26,13.48,56410934
2007-09-28,13.44,13.45,12.98,13.1,46543588
2007-10-01,13.14,13.28,13.08,13.16,21456968
2007-10-02,13.14,13.35,13.14,13.3,18585278
2007-10-03,13.18,13.35,13.18,13.27,12803616
2007-10-04,13.24,13.34,13.18,13.26,12476714
2007-10-05,13.36,13.46,13.22,13.42,16055556
2007-10-08,13.34,13.38,13.19,13.33,13457846
2007-10-09,13.27,13.43,13.19,13.39,13940442
2007-10-10,13.26,13.36,13.22,13.28,15587454
2007-10-11,13.29,13.32,13.09,13.16,21131234
2007-10-12,13.13,13.18,13.04,13.17,15347400
2007-10-15,13.14,13.16,13.0,13.06,15686170
2007-10-16,13.04,13.12,12.86,13.04,17893486
2007-10-17,13.05,13.32,13.03,13.2,31507506
2007-10-18,13.18,13.41,13.07,13.33,18800472
2007-10-19,13.33,13.36,13.04,13.05,25240910
2007-10-22,12.97,13.2,12.94,13.1,12120534
2007-10-23,13.04,13.07,12.92,13.07,15736242
2007-10-24,12.95,13.07,12.82,13.04,26540800
2007-10-25,13.1,13.24,12.9,13.08,24768922
2007-10-26,13.18,13.22,12.97,13.08,10772894
2007-10-29,13.09,13.16,12.99,13.12,12669816
2007-10-30,13.02,13.15,12.99,13.08,11427992
2007-10-31,13.07,13.38,13.05,13.34,22543226
2007-11-01,13.2,13.34,12.9,12.92,28337100
2007-11-02,13.0,13.05,12.66,12.76,28624846
2007-11-05,12.64,12.66,12.41,12.48,27549916
2007-11-06,12.5,12.58,12.3,12.48,16070380
2007-11-07,12.32,12.42,12.05,12.06,36774352
2007-11-08,11.94,12.04,11.48,11.7,52781828
2007-11-09,11.52,11.65,11.28,11.28,37159446
2007-11-12,11.31,11.77,11.31,11.57,43949892
2007-11-13,11.78,12.0,11.57,12.0,31595164
2007-11-14,12.02,12.12,11.96,12.12,33249978
2007-11-15,11.92,12.2,11.83,12.05,40416812
2007-11-16,10.94,11.75,10.88,11.58,131424710
2007-11-19,11.4,11.5,11.2,11.44,65881342
2007-11-20,11.4,11.56,11.22,11.55,61033224
2007-11-21,11.32,11.56,11.28,11.4,32760096
2007-11-23,11.4,11.54,11.3,11.54,10373148
2007-11-26,11.46,11.49,11.08,11.09,37269368
2007-11-27,11.12,11.32,11.12,11.3,22884968
2007-11-28,11.24,11.56,11.23,11.48,38442590
2007-11-29,11.36,11.54,11.26,11.52,19114986
2007-11-30,11.58,11.94,11.5,11.7,27217808
2007-12-03,11.62,11.72,11.4,11.4,20982496
2007-12-04,11.28,11.34,11.17,11.17,28241468
2007-12-05,11.3,11.35,11.23,11.32,16703232
2007-12-06,11.3,11.42,11.22,11.42,19823302
2007-12-07,11.36,11.49,11.27,11.31,18346516
2007-12-10,11.31,11.43,11.3,11.36,18035140
2007-12-11,11.06,11.26,10.94,10.95,39506400
2007-12-12,11.09,11.15,10.82,10.94,24801288
2007-12-13,10.93,11.06,10.73,10.75,22522792
2007-12-14,10.62,10.72,10.52,10.62,20954202
2007-12-17,10.5,10.5,10.07,10.08,33422694
2007-12-18,10.08,10.36,10.08,10.3,26695720
2007-12-19,10.16,10.28,9.94,10.02,28321858
2007-12-20,10.08,10.28,10.02,10.26,22996370
2007-12-21,10.3,10.59,10.25,10.53,40106564
2007-12-24,10.56,10.65,10.5,10.61,9659190
2007-12-26,10.5,10.5,10.33,10.41,10983612
2007-12-27,10.28,10.34,10.14,10.23,16377352
2007-12-28,10.18,10.23,10.06,10.06,19476284
2007-12-31,10.0,10.28,9.98,10.24,25458356
2008-01-02,10.07,10.08,9.64,9.66,45448590
2008-01-03,9.66,9.7,9.24,9.35,47943082
2008-01-04,9.24,9.27,9.0,9.06,40113292
2008-01-07,9.15,9.4,9.06,9.19,50480674
2008-01-08,10.09,10.5,9.92,9.93,126297494
2008-01-09,10.0,10.08,9.51,9.73,48411714
2008-01-10,9.72,10.24,9.59,10.16,45484806
2008-01-11,9.98,10.04,9.76,9.9,36160626
2008-01-14,9.95,9.98,9.72,9.78,23197662
2008-01-15,9.63,9.7,9.41,9.42,29013910
2008-01-16,9.48,9.88,9.42,9.65,33162244
2008-01-17,9.64,9.74,9.5,9.52,23452086
2008-01-18,9.38,9.68,9.2,9.33,39570306
2008-01-22,8.9,9.44,8.83,9.34,43741298
2008-01-23,9.06,10.1,9.06,10.04,52062970
2008-01-24,10.05,10.24,9.96,10.22,41795218
2008-01-25,10.32,10.34,9.74,9.83,35491978
2008-01-28,9.72,9.9,9.58,9.83,27001890
2008-01-29,9.93,10.18,9.83,9.98,21252924
2008-01-30,10.0,10.1,9.48,9.61,45354558
2008-01-31,9.08,9.59,9.04,9.46,87554740
2008-02-01,9.48,9.66,9.32,9.61,31497740
2008-02-04,9.66,9.68,9.52,9.6,20984910
2008-02-05,9.45,9.56,9.25,9.26,30507214
2008-02-06,9.35,9.45,9.01,9.08,29157110
2008-02-07,9.0,9.38,9.0,9.26,24913972
2008-02-08,9.23,9.38,9.08,9.13,21868470
2008-02-11,9.12,9.26,8.98,9.26,21100404
2008-02-12,9.3,9.62,9.26,9.36,27547560
2008-02-13,9.44,9.56,9.29,9.42,21568318
2008-02-14,9.42,9.44,9.04,9.09,33469658
2008-02-15,9.06,9.18,9.04,9.14,20662344
