Date,Open,High,Low,Close,Volume
2007-06-01,58.82,59.81,58.82,59.62,1653300
2007-06-04,59.62,59.83,59.17,59.79,810300
2007-06-05,59.79,59.81,58.88,59.54,1331800
2007-06-06,59.23,59.45,58.39,58.61,1718986
2007-06-07,58.43,58.53,57.75,57.75,1350900
2007-06-08,57.75,58.02,57.34,58.02,1717300
2007-06-11,57.82,57.99,57.36,57.45,1378598
2007-06-12,57.25,57.58,56.75,57.28,1984600
2007-06-13,57.5,58.24,57.27,58.2,2120800
2007-06-14,58.2,58.28,57.72,57.78,1642900
2007-06-15,57.91,58.0,57.4,57.77,2021400
2007-06-18,57.61,57.61,56.9,57.22,2068100
2007-06-19,57.22,56.45,55.95,56.21,1969300
2007-06-20,56.21,56.36,54.44,54.71,4009500
2007-06-21,54.71,55.22,54.6,55.02,2376300
2007-06-22,54.85,54.87,54.07,54.12,2674200
2007-06-25,54.0,54.6,53.81,54.25,2357385
2007-06-26,54.25,54.56,54.07,54.2,2245500
2007-06-27,54.2,55.45,54.05,55.45,1970300
2007-06-28,55.8,55.8,54.98,55.09,1446300
2007-06-29,55.08,55.5,54.63,54.95,1263200
2007-07-02,55.0,55.18,54.73,55.18,1179814
2007-07-03,55.44,55.48,54.88,54.91,405400
2007-07-05,54.95,55.47,54.85,55.4,1017100
2007-07-06,55.3,55.3,54.94,55.14,1034300
2007-07-09,55.13,55.19,54.61,54.88,1173500
2007-07-10,54.45,54.8,53.99,54.02,1177400
2007-07-11,54.02,54.6,54.01,54.4,2229200
2007-07-12,54.55,55.14,54.4,55.14,1263200
2007-07-13,55.3,55.57,55.04,55.39,988553
2007-07-16,55.07,55.3,54.73,54.95,1994600
2007-07-17,54.95,55.37,54.0,54.85,2966200
2007-07-18,54.85,54.65,52.88,53.49,5594000
2007-07-19,53.49,53.74,52.57,52.69,3321500
2007-07-20,53.32,53.46,51.64,51.81,3423400
2007-07-23,52.0,52.3,51.61,51.75,1936100
2007-07-24,51.75,52.02,50.03,50.21,3747718
2007-07-25,50.5,51.01,50.11,50.6,3707371
2007-07-26,51.0,51.28,48.72,49.29,3215457
2007-07-27,49.31,49.72,48.63,48.63,3252000
2007-07-30,48.47,48.61,47.61,48.14,2572399
2007-07-31,51.6,51.86,49.0,49.9,5647800
2007-08-01,49.9,50.76,49.85,50.69,4919558
2007-08-02,50.87,51.01,50.12,50.5,2787920
2007-08-03,50.7,51.22,49.09,49.09,3564100
2007-08-06,49.59,50.47,48.74,49.79,2131800
2007-08-07,49.22,49.6,48.65,49.28,2443400
2007-08-08,50.04,50.04,46.77,47.98,2572800
2007-08-09,46.51,48.27,45.96,47.34,5600300
2007-08-10,46.95,48.31,43.79,47.37,5872900
2007-08-13,46.59,48.13,45.28,47.28,1804500
2007-08-14,47.4,47.44,45.8,46.34,2211500
2007-08-15,46.35,47.46,46.02,46.51,1742900
2007-08-16,46.37,47.36,45.55,47.36,2548800
2007-08-17,48.56,48.75,46.31,47.47,2252100
2007-08-20,47.81,47.97,46.55,46.84,1264300
2007-08-21,46.79,47.21,46.46,46.82,1188700
2007-08-22,47.41,48.27,46.86,48.12,1394600
2007-08-23,48.12,49.06,48.14,48.88,1656800
2007-08-24,48.89,49.75,48.63,49.69,1755000
2007-08-27,49.62,49.66,48.18,48.26,1269709
2007-08-28,47.95,48.29,47.04,47.1,1432300
2007-08-29,47.11,47.73,46.86,47.73,1213500
2007-08-30,47.73,47.91,47.13,47.5,970600
2007-08-31,47.82,47.9,46.89,47.0,1537300
2007-09-04,47.0,47.55,46.34,47.38,1763000
2007-09-05,47.08,47.74,47.01,47.68,1865100
2007-09-06,47.68,48.0,47.28,47.86,1119400
2007-09-07,47.25,47.45,46.56,46.74,1535700
2007-09-10,46.81,47.03,45.79,46.17,1423100
2007-09-11,46.17,46.18,45.0,45.57,1548900
2007-09-12,45.25,45.38,44.8,44.93,1636100
2007-09-13,45.25,45.25,44.76,45.0,1073500
2007-09-14,45.0,44.85,44.14,44.74,1679900
2007-09-17,44.7,45.08,43.97,44.92,2569500
2007-09-18,44.92,45.13,44.13,44.99,1638600
2007-09-19,45.12,46.14,45.12,45.97,1667444
2007-09-20,45.97,45.8,44.9,44.94,1304200
2007-09-21,45.35,45.35,44.93,45.06,1151700
2007-09-24,44.92,45.27,44.51,44.58,1207600
2007-09-25,44.31,44.43,43.64,43.98,1383900
2007-09-26,44.31,44.83,44.1,44.53,1916000
2007-09-27,44.51,45.14,44.51,44.86,1147500
2007-09-28,44.56,44.86,43.63,43.7,2336300
2007-10-01,44.28,44.35,43.7,44.2,2454700
2007-10-02,44.46,45.08,44.22,44.9,1649200
2007-10-03,45.0,45.12,44.66,44.95,1302900
2007-10-04,45.1,45.33,44.81,45.23,2156600
2007-10-05,45.14,45.87,45.14,45.85,1472500
2007-10-08,45.95,46.18,45.71,45.77,744600
2007-10-09,45.8,46.02,44.63,45.02,1603000
2007-10-10,44.85,45.55,44.85,45.18,1790213
2007-10-11,45.36,45.8,44.93,45.04,1446200
2007-10-12,44.99,45.08,44.16,44.31,1430625
2007-10-15,44.2,44.41,43.3,43.53,1221300
2007-10-16,43.54,43.9,43.46,43.5,1828200
2007-10-17,44.0,44.76,43.22,43.55,2252400
2007-10-18,43.04,43.29,41.43,42.0,2023400
2007-10-19,41.83,42.0,41.06,41.12,3108800
2007-10-22,41.0,41.32,40.7,41.32,1291000
2007-10-23,41.32,42.42,41.32,42.33,1906300
2007-10-24,42.03,42.33,41.26,41.8,2073500
2007-10-25,41.85,42.32,41.23,41.62,1513800
2007-10-26,41.92,42.0,41.36,41.93,1162300
2007-10-29,42.13,42.27,41.6,41.81,1450800
2007-10-30,41.55,42.12,41.43,41.87,1010000
2007-10-31,41.84,42.42,41.74,42.41,1812900
2007-11-01,42.5,42.5,41.39,41.45,1373300
2007-11-02,41.46,41.6,40.38,40.66,1410000
2007-11-05,40.11,40.77,39.69,40.07,1575744
2007-11-06,40.09,41.65,39.83,40.41,1518100
2007-11-07,40.31,40.31,39.6,39.83,3851630
2007-11-08,39.86,40.64,39.68,40.44,2215617
2007-11-09,40.18,40.38,39.7,39.84,2017175
2007-11-12,39.85,40.28,39.63,39.68,2319910
2007-11-13,39.85,41.44,39.75,41.44,2303200
2007-11-14,41.61,41.61,40.25,40.35,1929261
2007-11-15,40.18,40.61,39.56,39.73,2105300
2007-11-16,40.08,40.19,39.04,39.54,1781660
2007-11-19,39.21,39.43,37.45,37.49,3032076
2007-11-20,37.63,37.99,36.9,37.73,2862100
2007-11-21,37.49,37.57,36.58,37.03,1948800
2007-11-23,37.1,37.73,36.91,37.72,708200
2007-11-26,38.7,38.7,37.29,37.31,2106220
2007-11-27,37.43,37.65,36.34,36.8,2484177
2007-11-28,37.15,37.25,36.18,36.87,2772310
2007-11-29,37.0,37.0,36.33,36.46,2196700
2007-11-30,36.9,37.31,36.49,36.75,2932538
2007-12-03,36.7,36.94,36.14,36.52,2123300
2007-12-04,36.29,36.51,35.52,35.75,2198200
2007-12-05,36.01,36.43,35.46,35.73,2402840
2007-12-06,35.64,36.06,35.22,35.78,1761150
2007-12-07,35.78,36.13,35.77,35.84,1692708
2007-12-10,36.01,36.36,35.78,36.29,3687282
2007-12-11,36.29,36.39,35.39,35.45,3080616
2007-12-12,36.32,36.32,34.89,35.4,2760774
2007-12-13,35.06,35.54,34.71,35.47,2447143
2007-12-14,35.38,35.53,34.34,35.3,4520920
2007-12-17,35.22,36.32,35.13,36.19,3959420
2007-12-18,36.38,36.72,36.05,36.54,2966201
2007-12-19,36.26,37.69,36.13,37.55,3639569
2007-12-20,37.7,38.77,37.7,38.62,3340538
2007-12-21,38.69,39.41,38.59,39.37,5289628
2007-12-24,39.5,39.5,38.49,39.0,1250045
2007-12-26,39.0,39.15,38.47,38.8,1654847
2007-12-27,38.42,38.94,38.24,38.51,1854650
2007-12-28,38.96,38.97,38.0,38.23,1652169
2007-12-31,38.04,39.5,38.01,39.0,2161519
2008-01-02,39.0,39.0,37.58,37.69,2643637
2008-01-03,37.88,37.88,36.33,36.5,2614900
2008-01-04,36.34,36.34,34.87,35.03,2717907
2008-01-07,35.26,35.66,34.95,35.32,2203126
2008-01-08,35.53,35.68,33.82,33.84,3008601
2008-01-09,33.82,33.9,31.97,32.45,7825239
2008-01-10,32.07,33.88,32.06,33.55,3540439
2008-01-11,33.32,33.58,32.82,33.54,2670018
2008-01-14,33.88,34.34,33.21,33.92,2315450
2008-01-15,33.96,33.96,33.11,33.57,2419900
2008-01-16,33.61,35.75,33.45,35.3,3611624
2008-01-17,35.46,35.46,34.15,34.64,3637800
2008-01-18,34.94,35.32,33.41,34.03,2856075
2008-01-22,32.7,34.51,32.37,34.26,3253517
2008-01-23,33.65,35.86,33.01,35.77,3421116
2008-01-24,36.05,36.25,35.11,35.89,2615879
2008-01-25,36.19,36.63,34.89,35.47,2646841
2008-01-28,35.45,37.51,35.2,37.48,2417919
2008-01-29,37.74,37.74,36.36,37.34,2061401
2008-01-30,37.18,38.16,37.1,37.51,2400041
2008-01-31,37.42,37.42,35.46,36.93,3531527
2008-02-01,36.57,37.75,36.51,37.47,3340539
2008-02-04,34.56,37.0,34.56,35.42,3026483
2008-02-05,35.73,35.73,34.0,34.66,3952860
2008-02-06,34.83,34.83,33.44,33.58,3119656
2008-02-07,33.33,34.05,33.31,33.82,3907967
2008-02-08,33.69,33.89,33.29,33.52,2774373
2008-02-11,33.55,33.57,32.47,32.85,2689926
2008-02-12,33.07,33.12,32.48,32.67,3098564
2008-02-13,32.9,33.12,32.25,33.0,3292687
2008-02-14,33.19,33.21,32.12,32.21,2908045
2008-02-15,32.02,32.26,31.38,31.9,3227760
2008-02-19,32.32,32.95,32.02,32.33,3058715
2008-02-20,32.08,32.08,31.27,31.94,3697510
2008-02-21,32.05,32.09,31.62,31.66,3028377
2008-02-22,31.73,31.81,31.26,31.74,2431740
2008-02-25,31.79,32.1,31.4,32.03,3478243
2008-02-26,31.82,32.77,31.78,32.3,3747470
2008-02-27,32.05,32.32,31.5,31.75,3536389
2008-02-28,31.36,31.41,30.2,30.23,5282624
2008-02-29,30.24,30.65,30.01,30.15,3510353
2008-03-03,30.21,30.31,29.79,29.98,3579930
2008-03-04,29.9,30.08,29.09,29.42,3946439
2008-03-05,29.35,30.02,29.1,29.76,2659255
2008-03-06,29.57,29.65,29.04,29.08,3142470
2008-03-07,28.93,29.22,28.53,28.9,3367451
2008-03-10,28.97,29.51,28.44,28.63,1958949
2008-03-11,28.94,29.67,28.69,29.65,2882214
2008-03-12,29.77,30.55,29.47,29.82,2210040
2008-03-13,29.64,30.14,29.04,29.97,2628602
2008-03-14,29.79,30.1,27.79,28.43,4455272
2008-03-17,27.82,29.63,27.77,29.24,4344518
2008-03-18,29.8,30.18,29.34,30.18,3082159
2008-03-19,30.5,31.27,30.11,30.11,2910395
2008-03-20,30.14,30.49,29.99,30.25,3617738
2008-03-24,30.43,31.86,30.35,31.76,2731688
2008-03-25,31.6,31.82,30.33,30.77,4802858
2008-03-26,30.56,30.86,30.39,30.44,4115724
2008-03-27,30.49,30.55,28.84,28.91,3542259
2008-03-28,29.1,29.11,28.01,28.54,2969119
2008-03-31,28.59,29.23,28.47,29.05,3557056
2008-04-01,29.41,30.3,29.06,30.27,3253377
2008-04-02,30.6,30.97,30.33,30.75,2473677
2008-04-03,30.61,30.85,30.0,30.27,2106753
2008-04-04,30.2,30.28,29.28,29.48,1635054
2008-04-07,29.68,30.06,29.34,29.92,2045573
2008-04-08,29.97,30.03,29.17,29.31,1551932
2008-04-09,29.28,29.46,28.55,28.77,1790267
2008-04-10,28.72,28.89,28.24,28.59,1489791
2008-04-11,28.4,28.5,27.58,27.62,2138668
2008-04-14,27.71,27.96,27.45,27.85,1940704
2008-04-15,27.97,28.1,27.25,27.39,1624568
