Date,Open,High,Low,Close,Volume
2007-06-01,164.35,164.61,163.91,164.37,95846
2007-06-04,164.12,164.4,162.99,164.16,99693
2007-06-05,163.79,163.93,162.85,162.97,124189
2007-06-06,162.99,162.97,160.73,160.73,207081
2007-06-07,160.73,160.73,158.6,158.6,152660
2007-06-08,158.62,160.0,157.5,160.0,149582
2007-06-11,160.0,160.73,159.11,160.37,143854
2007-06-12,160.21,161.45,159.18,159.18,181559
2007-06-13,159.53,160.14,158.46,160.14,224993
2007-06-14,160.16,161.36,160.12,161.15,172796
2007-06-15,161.4,161.99,160.94,161.29,219906
2007-06-18,161.36,161.78,160.73,160.87,79387
2007-06-19,160.89,161.64,160.4,161.4,126497
2007-06-20,161.8,161.99,159.35,159.44,154712
2007-06-21,159.46,160.19,157.92,159.79,140648
2007-06-22,159.53,159.6,157.12,157.73,336913
2007-06-25,157.82,159.35,156.75,157.85,223198
2007-06-26,157.87,158.41,156.47,156.58,189896
2007-06-27,156.0,158.18,155.2,157.94,224010
2007-06-28,157.96,158.71,157.15,157.43,163562
2007-06-29,157.57,158.62,155.91,156.73,152960
2007-07-02,157.36,158.88,157.22,158.67,184167
2007-07-03,158.46,159.46,158.29,158.95,57996
2007-07-05,159.27,159.81,157.29,157.75,93152
2007-07-06,157.57,157.99,156.65,157.94,88022
2007-07-09,157.94,158.9,157.85,157.87,136843
2007-07-10,157.03,157.03,154.67,154.67,195325
2007-07-11,154.67,157.03,154.43,157.03,211570
2007-07-12,157.05,159.39,156.94,159.39,175788
2007-07-13,158.99,159.72,158.34,159.27,109953
2007-07-16,158.81,159.51,158.5,158.6,146590
2007-07-17,158.15,158.78,155.32,157.05,316222
2007-07-18,156.58,156.58,153.78,155.56,330800
2007-07-19,156.63,156.8,154.97,156.02,212938
2007-07-20,155.91,155.91,152.54,152.8,428911
2007-07-23,153.22,154.83,153.12,154.27,191434
2007-07-24,153.45,153.89,150.78,150.99,312524
2007-07-25,151.37,152.05,149.03,150.83,334904
2007-07-26,147.79,149.57,146.69,148.44,394283
2007-07-27,148.44,148.87,145.17,145.17,451984
2007-07-30,144.75,146.15,143.44,145.61,355338
2007-07-31,146.25,147.16,143.95,143.95,313229
2007-08-01,143.93,145.96,142.22,145.36,334562
2007-08-02,145.5,147.13,143.56,144.02,408348
2007-08-03,144.19,144.23,138.92,138.92,495814
2007-08-06,139.39,143.3,138.78,143.3,432459
2007-08-07,142.34,143.23,139.93,141.96,396378
2007-08-08,142.15,144.7,141.68,144.65,347344
2007-08-09,143.25,143.63,141.52,141.87,479740
2007-08-10,141.8,143.77,139.37,141.61,338794
2007-08-13,142.08,144.4,141.47,142.01,224181
2007-08-14,142.46,143.51,140.84,141.1,311049
2007-08-15,141.4,143.16,138.97,139.09,205585
2007-08-16,137.08,142.34,136.84,141.08,310579
2007-08-17,145.15,146.48,142.34,145.33,333878
2007-08-20,145.96,146.43,143.86,145.43,154840
2007-08-21,144.98,146.08,144.16,144.87,111492
2007-08-22,146.2,147.91,145.24,147.16,129148
2007-08-23,148.8,149.15,145.71,147.13,167024
2007-08-24,146.9,148.16,146.08,148.16,110851
2007-08-27,148.12,148.68,146.74,146.78,86697
2007-08-28,145.38,145.85,141.47,141.47,200412
2007-08-29,142.29,145.1,141.5,145.1,167965
2007-08-30,143.35,144.28,142.57,143.32,143896
2007-08-31,144.73,146.01,143.44,144.0,155396
2007-09-04,144.51,144.82,143.49,144.16,255602
2007-09-05,143.39,143.67,141.4,141.59,264580
2007-09-06,141.68,142.48,140.16,141.22,256201
2007-09-07,140.05,141.36,139.58,140.09,327892
2007-09-10,140.61,141.15,138.48,139.04,242820
2007-09-11,139.49,140.56,138.78,140.14,256756
2007-09-12,139.49,140.47,138.83,139.84,172753
2007-09-13,141.52,141.59,140.28,140.89,155354
2007-09-14,140.12,140.98,139.77,140.65,180405
2007-09-17,140.37,140.61,139.46,140.12,169034
2007-09-18,140.54,144.4,140.19,144.4,215888
2007-09-19,145.12,146.2,144.8,145.38,192845
2007-09-20,145.68,146.6,144.47,144.47,196180
2007-09-21,146.11,146.11,144.47,144.98,194085
2007-09-24,144.75,145.24,143.35,143.51,116152
2007-09-25,143.16,143.93,142.53,143.16,143426
2007-09-26,144.09,146.15,143.79,145.12,162835
2007-09-27,145.87,146.69,145.33,146.36,99180
2007-09-28,146.34,146.71,145.26,145.78,149454
2007-10-01,146.34,148.94,145.73,148.73,151805
2007-10-02,148.54,149.29,147.49,147.93,119914
2007-10-03,147.27,147.72,146.76,147.25,107816
2007-10-04,147.88,148.3,146.55,147.09,94349
2007-10-05,147.37,149.54,147.37,149.19,137655
2007-10-08,149.29,149.64,148.12,148.28,90587
2007-10-09,148.4,148.56,147.09,148.47,101830
2007-10-10,148.47,148.47,147.16,147.6,117904
2007-10-11,148.14,149.92,147.7,148.33,182115
2007-10-12,148.68,149.31,147.93,149.31,91742
2007-10-15,150.97,151.11,148.16,149.4,229268
2007-10-16,149.24,149.29,147.72,148.54,241366
2007-10-17,149.71,150.01,147.63,149.24,235382
2007-10-18,149.24,149.33,147.18,147.74,259706
2007-10-19,148.96,149.68,147.49,147.49,356834
2007-10-22,146.69,151.65,146.32,151.35,289973
2007-10-23,151.95,152.02,149.8,151.04,180490
2007-10-24,150.43,150.83,146.57,148.47,291170
2007-10-25,148.75,150.29,147.98,150.13,338110
2007-10-26,151.16,151.81,149.15,151.74,191434
2007-10-29,152.05,152.09,149.99,150.6,124274
2007-10-30,150.57,151.7,150.29,150.74,103327
2007-10-31,151.35,153.08,150.34,152.42,139579
2007-11-01,152.19,152.82,148.82,148.82,199642
2007-11-02,148.98,149.66,146.11,148.0,247352
2007-11-05,146.2,148.44,145.78,147.27,223522
2007-11-06,147.7,148.28,145.22,148.16,208406
2007-11-07,146.25,147.25,144.23,144.23,302285
2007-11-08,143.49,147.98,143.49,147.51,479687
2007-11-09,145.61,151.04,145.36,148.61,379588
2007-11-12,148.84,152.21,148.73,149.54,280032
2007-11-13,150.5,151.39,149.54,151.39,319599
2007-11-14,151.91,153.22,150.11,150.15,238604
2007-11-15,150.32,150.57,146.92,147.79,191702
2007-11-16,148.58,148.73,143.98,145.57,316735
2007-11-19,144.61,144.61,141.75,142.74,377909
2007-11-20,142.53,143.7,140.37,142.92,340789
2007-11-21,140.87,141.87,139.46,139.56,253953
2007-11-23,140.54,142.13,139.88,141.75,102136
2007-11-26,141.47,141.87,137.5,137.5,264888
2007-11-27,137.93,141.66,137.85,141.66,278986
2007-11-28,141.66,146.36,141.66,146.36,233158
2007-11-29,145.99,146.41,143.79,144.51,171395
2007-11-30,146.62,147.95,143.51,144.28,404244
2007-12-03,143.23,144.77,142.92,143.6,229096
2007-12-04,142.46,143.86,142.06,142.67,299721
2007-12-05,143.7,145.33,143.06,145.33,298799
2007-12-06,145.29,146.88,144.58,146.88,184060
2007-12-07,147.74,148.12,145.92,146.34,150181
2007-12-10,146.34,148.07,146.08,146.78,234957
2007-12-11,147.6,148.28,143.13,143.3,304906
2007-12-12,147.13,147.56,141.71,144.09,282364
2007-12-13,143.65,144.75,142.13,144.61,284730
2007-12-14,143.46,144.02,141.05,141.05,159500
2007-12-17,140.3,142.81,140.21,141.12,204430
2007-12-18,141.43,142.69,139.91,141.89,184851
2007-12-19,142.2,143.72,140.37,140.91,174865
2007-12-20,142.08,142.41,139.3,141.47,151634
2007-12-21,143.18,144.56,142.5,144.42,305641
2007-12-24,143.3,146.71,143.27,146.43,75859
2007-12-26,146.53,146.92,144.68,145.24,100120
2007-12-27,145.19,145.52,141.68,141.68,168734
2007-12-28,142.57,143.39,141.36,141.54,140220
2007-12-31,140.91,142.99,140.49,141.59,175104
2008-01-02,141.1,141.8,138.76,139.18,319514
2008-01-03,139.39,141.03,138.29,140.7,304508
2008-01-04,139.91,140.77,139.04,139.6,306389
2008-01-07,141.73,143.2,141.08,142.83,372216
2008-01-08,143.65,143.72,138.62,139.06,277072
2008-01-09,138.85,142.29,138.22,142.29,298737
2008-01-10,141.8,145.96,140.94,144.63,361964
2008-01-11,143.88,145.73,142.32,143.35,219222
2008-01-14,144.26,144.84,143.09,144.56,192247
2008-01-15,143.16,144.4,142.78,143.04,357476
2008-01-16,142.92,144.82,142.57,142.83,354698
2008-01-17,142.74,142.83,138.85,138.9,413777
2008-01-18,139.88,139.88,134.25,135.65,462876
2008-01-22,130.25,137.82,129.8,135.53,574550
2008-01-23,131.74,139.7,129.4,139.09,565987
2008-01-24,139.44,139.51,136.84,137.45,344698
2008-01-25,139.18,139.46,134.27,135.32,377778
2008-01-28,138.62,140.68,136.3,140.68,373992
2008-01-29,141.05,142.97,140.0,142.71,204516
2008-01-30,142.08,144.98,139.63,140.14,253649
2008-01-31,137.92,144.84,137.52,142.64,330286
2008-02-01,142.5,145.5,142.18,145.31,264580
2008-02-04,145.4,145.4,143.04,143.44,138168
2008-02-05,141.36,142.06,140.21,140.37,254249
2008-02-06,140.37,142.34,139.53,140.77,286218
2008-02-07,142.67,144.09,141.12,143.93,299021
2008-02-08,142.88,142.99,139.84,139.88,347100
