Date,Open,High,Low,Close,Volume
2007-06-01,64.11,64.83,63.63,63.93,8351995
2007-06-04,63.51,63.93,63.48,63.69,6144089
2007-06-05,63.6,64.35,63.15,63.3,7200492
2007-06-06,63.18,63.21,62.19,62.31,7754035
2007-06-07,62.07,62.31,60.87,61.35,10758863
2007-06-08,60.9,62.25,60.9,62.22,8953166
2007-06-11,62.1,62.31,61.59,61.83,7983911
2007-06-12,61.8,62.07,60.93,60.99,9175313
2007-06-13,61.35,61.98,60.78,61.95,6480700
2007-06-14,61.95,62.73,61.77,62.61,5793002
2007-06-15,62.61,63.06,62.1,62.7,7940284
2007-06-18,62.76,62.97,62.55,62.67,6144495
2007-06-19,62.4,63.9,62.31,63.72,11460075
2007-06-20,63.9,65.91,63.78,65.58,16010200
2007-06-21,65.25,65.25,64.38,64.53,12512229
2007-06-22,64.5,64.71,63.93,64.35,10963203
2007-06-25,64.59,64.92,64.17,64.35,9133194
2007-06-26,64.23,64.89,63.6,63.63,10270585
2007-06-27,63.27,64.14,63.15,63.87,8238813
2007-06-28,63.96,64.08,63.48,63.63,5161807
2007-06-29,63.57,64.35,62.88,63.12,7389881
2007-07-02,63.45,64.53,63.42,64.53,5470210
2007-07-03,64.53,64.5,63.78,64.23,3248351
2007-07-05,63.93,64.02,62.94,63.51,7709253
2007-07-06,63.45,63.63,62.97,63.06,8513568
2007-07-09,63.0,63.15,62.46,62.97,14996447
2007-07-10,62.43,62.76,61.47,61.53,9732498
2007-07-11,61.59,62.22,61.38,62.1,5182430
2007-07-12,62.01,62.28,61.56,62.22,6190318
2007-07-13,62.31,62.91,62.13,62.58,4800508
2007-07-16,63.12,63.33,62.7,62.79,5182533
2007-07-17,62.91,63.51,62.52,63.36,8712933
2007-07-18,63.3,63.3,61.74,62.64,8437967
2007-07-19,62.67,62.85,61.74,62.13,9632367
2007-07-20,62.37,62.37,60.99,61.14,9799767
2007-07-23,61.23,61.89,61.14,61.41,6600233
2007-07-24,60.81,61.62,60.69,61.11,7197800
2007-07-25,61.38,61.44,60.75,60.81,7284933
2007-07-26,60.15,60.63,58.44,58.95,11419679
2007-07-27,58.95,59.37,58.2,58.26,7853499
2007-07-30,58.53,58.98,57.36,58.71,9792700
2007-07-31,58.5,58.8,57.63,57.78,9048367
2007-08-01,57.0,57.06,54.15,55.92,21829664
2007-08-02,56.19,56.97,55.32,56.7,16251644
2007-08-03,56.67,57.57,55.83,55.83,12764000
2007-08-06,56.01,56.73,54.81,55.44,16782067
2007-08-07,54.6,56.37,54.36,55.83,16486200
2007-08-08,55.68,56.97,55.68,56.94,13437767
2007-08-09,55.08,56.67,54.42,55.98,14852067
2007-08-10,55.41,56.01,54.75,55.86,12279933
2007-08-13,55.86,58.26,55.26,56.4,9632867
2007-08-14,56.25,56.52,54.54,54.57,18156333
2007-08-15,54.66,55.86,54.12,54.96,14067578
2007-08-16,54.15,55.62,54.06,54.63,14452167
2007-08-17,55.44,55.8,54.48,54.87,15580733
2007-08-20,54.78,55.53,54.3,55.26,10418100
2007-08-21,55.23,56.4,54.93,55.92,7983600
2007-08-22,56.34,57.15,56.25,56.79,10494333
2007-08-23,57.06,57.54,56.79,57.12,11601667
2007-08-24,56.7,57.3,56.43,57.03,6667433
2007-08-27,57.0,57.48,56.67,57.12,6116462
2007-08-28,56.73,56.85,55.29,55.35,6393600
2007-08-29,55.5,56.46,54.78,56.43,6776167
2007-08-30,55.86,56.31,55.41,55.83,7441233
2007-08-31,56.04,57.3,56.01,56.94,9752300
2007-09-04,57.0,58.02,56.88,57.75,6946428
2007-09-05,57.18,57.6,56.76,57.0,10288600
2007-09-06,56.19,56.76,55.83,56.64,9102700
2007-09-07,56.13,56.13,54.78,55.11,9530733
2007-09-10,55.26,55.35,54.27,54.6,6437067
