Date,Open,High,Low,Close,Volume
2007-06-01,60.3,60.7,60.02,60.08,663700
2007-06-04,60.08,60.06,59.37,59.73,637600
2007-06-05,59.65,59.71,59.12,59.61,734800
2007-06-06,59.61,61.5,59.36,61.0,2389065
2007-06-07,60.87,61.03,60.19,60.24,1623500
2007-06-08,60.0,60.3,59.8,60.3,1057200
2007-06-11,60.45,61.75,60.28,61.24,1420000
2007-06-12,60.86,61.0,60.42,60.53,1157790
2007-06-13,60.69,61.08,60.26,61.01,760900
2007-06-14,61.01,61.35,60.64,60.9,740900
2007-06-15,61.09,61.28,60.8,61.03,560900
2007-06-18,61.17,61.4,60.53,60.71,333100
2007-06-19,60.75,60.91,60.29,60.44,524900
2007-06-20,60.3,60.6,59.87,59.87,456500
2007-06-21,59.88,60.06,59.29,59.94,834400
2007-06-22,59.0,59.44,58.76,59.13,943800
2007-06-25,59.19,60.13,58.98,59.95,909800
2007-06-26,60.09,60.45,59.53,59.96,606400
2007-06-27,59.5,60.12,59.34,60.0,537300
2007-06-28,60.01,60.58,59.65,60.08,569200
2007-06-29,60.04,60.09,59.18,59.36,636700
2007-07-02,59.36,60.09,58.87,59.99,630068
2007-07-03,60.04,60.66,60.04,60.5,156980
2007-07-05,60.5,61.08,60.28,60.64,620126
2007-07-06,60.69,61.25,60.21,61.0,426100
2007-07-09,60.87,60.98,59.99,60.88,463205
2007-07-10,60.41,61.22,60.4,60.83,826950
2007-07-11,60.9,61.59,60.74,61.59,662300
2007-07-12,61.63,62.69,61.33,62.64,897800
2007-07-13,62.8,62.8,61.04,61.58,858100
2007-07-16,61.58,61.76,61.09,61.58,544100
2007-07-17,61.55,62.0,61.05,61.89,515400
2007-07-18,61.4,61.59,60.87,61.51,477300
2007-07-19,61.65,61.75,60.32,61.49,708800
2007-07-20,61.39,61.58,60.55,61.3,1017400
2007-07-23,61.6,62.56,61.03,62.21,768100
2007-07-24,62.66,63.38,59.19,59.35,2184258
2007-07-25,60.06,61.59,59.67,60.16,1940826
2007-07-26,59.67,60.33,58.66,60.16,1450954
2007-07-27,60.16,60.33,57.54,59.08,1041200
2007-07-30,58.2,59.45,57.9,58.98,1155803
2007-07-31,58.98,59.23,58.19,58.26,948466
2007-08-01,58.1,59.4,57.64,59.36,925000
2007-08-02,58.75,61.2,57.59,60.76,1043023
2007-08-03,60.76,63.05,60.72,60.77,1312688
2007-08-06,61.45,62.9,60.81,62.9,1155943
2007-08-07,62.9,63.84,62.14,63.31,985892
2007-08-08,63.57,64.5,62.97,63.52,992000
2007-08-09,63.18,63.78,59.34,60.02,1355889
2007-08-10,59.5,62.91,58.06,62.53,1462600
2007-08-13,62.53,62.56,60.86,61.73,491900
2007-08-14,62.0,62.57,61.55,62.02,631600
2007-08-15,61.55,62.92,61.26,62.26,744004
2007-08-16,62.26,63.92,57.12,59.13,1374400
2007-08-17,60.02,61.68,59.03,61.58,929800
2007-08-20,61.58,61.97,60.56,61.15,461900
2007-08-21,61.15,62.04,60.12,61.35,697400
2007-08-22,61.68,61.68,60.61,61.45,477100
2007-08-23,61.45,62.4,61.71,62.0,478000
2007-08-24,62.0,63.49,61.68,62.92,529700
2007-08-27,62.15,62.55,61.19,61.61,468200
2007-08-28,61.45,61.62,60.91,60.95,366600
2007-08-29,61.32,61.79,60.92,61.72,352600
