Date,Open,High,Low,Close,Volume
2007-06-01,122.22,123.02,121.85,122.33,425746
2007-06-04,122.36,122.44,121.06,121.7,250510
2007-06-05,121.7,121.85,120.53,121.54,241450
2007-06-06,121.56,121.85,120.87,121.3,285844
2007-06-07,120.77,120.77,119.55,120.03,302933
2007-06-08,120.05,119.87,118.17,119.58,220159
2007-06-11,118.94,120.4,118.68,119.2,339336
2007-06-12,119.23,119.58,118.2,118.25,193016
2007-06-13,118.22,119.55,118.22,119.52,133258
2007-06-14,119.55,120.66,119.73,120.56,124424
2007-06-15,120.66,122.07,120.48,121.3,176482
2007-06-18,121.32,122.28,120.82,121.43,155908
2007-06-19,121.03,121.99,120.69,121.3,169573
2007-06-20,120.87,121.59,119.84,119.84,175009
2007-06-21,119.71,121.14,119.28,120.79,159494
2007-06-22,120.82,120.93,120.05,120.34,126803
2007-06-25,120.34,120.56,119.58,120.13,141638
2007-06-26,120.26,120.4,119.44,119.66,176821
2007-06-27,119.2,119.2,117.64,118.15,264590
2007-06-28,117.75,118.15,117.17,117.22,298666
2007-06-29,117.62,117.96,116.37,116.71,276935
2007-07-02,116.74,117.48,116.29,116.56,335145
2007-07-03,114.3,116.61,113.09,116.56,210079
2007-07-05,115.81,116.64,115.66,116.03,216723
2007-07-06,116.32,116.53,115.66,116.34,212458
2007-07-09,115.89,116.26,115.5,115.81,198226
2007-07-10,115.31,116.0,115.05,115.36,155379
2007-07-11,115.84,118.33,114.57,115.71,123745
2007-07-12,115.71,116.08,115.28,115.87,108305
2007-07-13,115.68,115.87,114.78,115.71,65685
2007-07-16,115.71,115.95,115.07,115.5,208561
2007-07-17,115.5,115.63,114.46,114.57,134353
2007-07-18,113.96,114.28,112.79,114.17,203435
2007-07-19,114.17,114.99,113.59,113.88,109589
2007-07-20,113.85,114.57,113.43,113.8,119366
2007-07-23,113.43,114.68,113.43,113.75,106342
2007-07-24,113.06,115.1,112.53,112.9,208541
2007-07-25,112.9,114.2,112.48,113.48,182446
2007-07-26,112.45,112.48,110.44,112.05,259796
2007-07-27,112.05,112.48,110.01,110.36,182793
2007-07-30,110.6,110.62,108.56,108.66,365874
2007-07-31,108.66,109.46,106.22,107.52,451529
2007-08-01,107.76,108.74,105.64,107.02,629445
2007-08-02,106.75,108.42,102.97,106.68,1241374
2007-08-03,106.15,106.3,103.84,104.11,327633
2007-08-06,104.13,107.81,104.13,107.52,298227
2007-08-07,107.52,107.31,103.6,105.38,351227
2007-08-08,105.09,105.99,103.76,104.66,469749
2007-08-09,103.79,105.99,100.34,104.58,507316
2007-08-10,103.18,104.85,102.33,103.58,356530
2007-08-13,104.11,106.38,103.63,105.48,217290
2007-08-14,105.96,107.26,105.3,105.91,259192
2007-08-15,107.55,107.55,103.89,104.19,194073
2007-08-16,104.32,104.32,101.93,102.99,296112
2007-08-17,103.13,106.04,102.52,102.78,284787
2007-08-20,103.26,103.55,102.38,102.57,333333
2007-08-21,102.57,103.52,102.49,103.13,301095
2007-08-22,102.78,103.6,102.52,103.21,251831
2007-08-23,103.58,103.97,102.44,103.05,232465
2007-08-24,103.21,103.87,102.86,103.31,211136
2007-08-27,103.81,104.42,102.97,103.79,273197
2007-08-28,103.42,103.42,100.5,101.99,212495
2007-08-29,102.73,103.23,101.72,102.86,183730
2007-08-30,102.09,103.58,102.04,102.94,192827
2007-08-31,103.28,103.89,102.52,103.05,287354
2007-09-04,102.91,105.03,102.54,104.53,146886
2007-09-05,104.32,106.17,103.71,105.8,266138
2007-09-06,105.96,107.18,105.35,105.91,270555
2007-09-07,105.22,106.33,104.87,105.38,112269
2007-09-10,105.67,106.25,104.69,105.17,181012
2007-09-11,105.17,106.86,105.17,106.38,166553
2007-09-12,105.96,106.73,105.06,105.06,164251
2007-09-13,105.7,106.6,104.24,105.88,185919
2007-09-14,105.38,106.83,105.01,106.12,133975
2007-09-17,106.04,106.75,105.64,106.57,124160
2007-09-18,107.18,108.32,106.86,107.66,158399
2007-09-19,107.73,108.45,106.33,106.78,205172
2007-09-20,106.6,107.07,105.67,105.7,127822
2007-09-21,106.22,107.71,105.35,106.97,138090
2007-09-24,106.81,108.37,106.81,107.5,141525
2007-09-25,107.55,109.93,107.55,109.27,209891
2007-09-26,109.3,109.4,108.05,108.61,107399
