Date,Open,High,Low,Close,Volume
2007-06-01,75.48,76.2,74.0,75.88,872387
2007-06-04,75.68,76.12,75.24,75.92,804473
2007-06-05,75.8,76.68,75.48,76.04,1193300
2007-06-06,75.88,76.16,75.28,76.04,990983
2007-06-07,75.68,76.48,75.0,75.04,1478225
2007-06-08,75.08,77.08,74.64,77.04,1101625
2007-06-11,76.76,77.76,76.6,77.2,1166590
2007-06-12,77.2,77.32,75.36,75.36,1126000
2007-06-13,75.48,76.68,75.32,76.64,924550
2007-06-14,76.92,76.92,75.96,76.04,1131475
2007-06-15,76.2,76.24,75.16,75.56,1567500
2007-06-18,75.52,77.96,75.52,77.6,1383102
2007-06-19,77.16,77.56,76.6,77.12,1448487
2007-06-20,77.12,77.32,76.4,76.64,1340950
2007-06-21,76.28,77.08,75.6,76.92,1082314
2007-06-22,76.32,76.6,75.2,76.0,1599700
2007-06-25,76.2,76.92,75.28,75.8,887250
2007-06-26,76.2,76.4,74.16,74.4,1305806
2007-06-27,73.76,74.4,73.4,74.2,1255538
2007-06-28,74.44,75.08,73.72,74.16,1121952
2007-06-29,75.0,76.52,73.36,73.92,1639850
2007-07-02,74.0,75.12,74.0,74.76,1067519
2007-07-03,74.92,75.6,74.72,75.44,490658
2007-07-05,75.44,76.32,74.8,76.24,1301005
2007-07-06,76.28,76.64,75.68,76.56,991498
2007-07-09,76.44,76.6,75.64,76.32,901672
2007-07-10,76.12,79.68,75.76,78.68,3202952
2007-07-11,78.68,79.92,77.52,77.88,1776925
2007-07-12,78.28,79.72,77.88,79.6,1329000
2007-07-13,79.08,79.72,78.84,79.6,1232582
2007-07-16,79.0,79.44,78.44,79.16,1309982
2007-07-17,79.0,79.76,78.24,78.76,1538894
2007-07-18,78.6,79.0,77.4,78.88,1403605
2007-07-19,78.92,79.64,78.6,79.2,803206
2007-07-20,79.16,79.44,78.12,78.28,1133524
2007-07-23,78.4,80.72,78.4,78.84,2130314
2007-07-24,78.68,78.88,77.12,77.32,1734072
2007-07-25,78.8,78.88,70.28,72.88,3246566
2007-07-26,71.96,72.6,69.2,70.48,2726797
2007-07-27,70.0,72.0,68.4,68.44,1669026
2007-07-30,69.0,71.6,68.76,71.28,2003120
2007-07-31,72.0,72.16,69.8,69.84,2019274
2007-08-01,69.4,70.84,68.8,70.64,2183056
2007-08-02,70.64,71.64,70.0,70.64,1531249
2007-08-03,71.84,71.84,67.48,67.64,2113746
2007-08-06,67.72,68.16,66.92,67.4,2329626
2007-08-07,67.24,67.84,64.32,65.4,3359016
2007-08-08,65.56,66.8,65.48,66.76,2279918
2007-08-09,65.44,65.76,63.52,64.2,3094369
2007-08-10,64.2,66.12,63.52,64.28,2267275
2007-08-13,65.0,66.4,64.8,65.88,2283250
2007-08-14,66.12,66.28,63.04,65.28,2150864
2007-08-15,65.0,65.88,63.68,63.92,1491788
2007-08-16,63.84,64.04,61.04,63.16,1833975
2007-08-17,63.52,65.64,63.4,64.84,1706581
2007-08-20,66.52,66.52,62.56,63.68,1560869
2007-08-21,64.0,65.92,63.64,65.56,1386563
2007-08-22,65.92,67.64,65.68,66.68,1466100
2007-08-23,66.68,68.0,66.36,66.92,1232275
2007-08-24,66.92,67.56,66.6,67.4,1102800
2007-08-27,67.08,67.92,66.4,67.4,726848
2007-08-28,66.88,67.68,65.8,65.92,933700
2007-08-29,67.36,67.84,66.08,67.76,1049925
2007-08-30,67.76,68.2,66.92,67.64,655475
2007-08-31,68.28,68.88,67.32,68.52,798325
2007-09-04,68.0,69.48,68.0,68.88,902175
2007-09-05,68.12,68.24,66.32,67.52,1366700
2007-09-06,67.52,68.76,66.7,68.52,964700
2007-09-07,67.56,68.28,66.72,68.08,1195075
2007-09-10,68.2,68.36,66.84,67.44,883150
2007-09-11,67.44,68.44,67.12,68.4,926550
2007-09-12,67.96,68.36,67.12,67.24,949775
2007-09-13,67.92,68.96,67.52,68.64,1137200
2007-09-14,68.64,68.68,67.44,67.96,894500
2007-09-17,67.64,68.32,65.96,66.24,1355750
2007-09-18,66.24,67.4,65.8,67.36,1215400
2007-09-19,67.32,69.4,67.32,68.32,964975
2007-09-20,68.32,68.96,67.4,67.68,755350
2007-09-21,68.48,69.2,67.68,68.08,1297604
2007-09-24,68.12,69.68,67.32,67.76,1259025
2007-09-25,67.6,68.48,67.4,67.6,795750
2007-09-26,67.8,69.28,67.68,69.2,1158075
2007-09-27,69.24,69.92,69.08,69.48,988675
2007-09-28,69.56,69.96,68.2,69.36,1662400
2007-10-01,69.92,70.92,69.56,69.92,952325
2007-10-02,70.04,70.44,68.32,69.72,985200
2007-10-03,69.24,69.64,68.72,69.2,770825
2007-10-04,69.56,69.6,68.28,69.4,1037900
2007-10-05,69.72,70.72,69.4,70.16,808725
2007-10-08,70.12,71.16,69.72,69.96,663400
2007-10-09,70.28,70.84,69.64,70.72,641175
2007-10-10,70.68,71.24,69.12,69.24,1257675
2007-10-11,69.64,70.36,68.04,68.24,2027525
2007-10-12,68.72,69.2,68.44,68.96,1443275
2007-10-15,68.8,69.0,68.36,68.68,892775
2007-10-16,68.6,68.8,67.18,67.64,916075
2007-10-17,68.52,69.64,67.28,68.28,1247852
2007-10-18,68.44,69.52,68.0,68.84,869975
2007-10-19,68.48,68.84,66.6,66.68,1380875
2007-10-22,67.56,68.84,66.84,68.72,1409475
2007-10-23,68.84,68.84,67.24,68.0,1322950
2007-10-24,67.92,68.08,65.8,67.0,1107975
2007-10-25,66.84,67.36,65.96,66.2,878675
2007-10-26,66.92,67.92,66.24,67.56,826875
2007-10-29,67.68,68.64,67.56,68.16,1011700
2007-10-30,68.08,69.0,67.6,68.52,810025
2007-10-31,68.28,69.96,68.28,69.76,918725
2007-11-01,69.36,69.92,68.16,68.24,918625
2007-11-02,68.44,68.76,67.4,68.76,807575
2007-11-05,67.8,68.64,67.4,68.2,834234
2007-11-06,68.2,68.2,67.24,68.16,776963
2007-11-07,67.48,67.48,65.4,65.52,1235919
2007-11-08,65.4,66.0,63.44,64.72,1451506
2007-11-09,63.44,64.72,63.12,63.52,1136825
2007-11-12,63.28,65.6,63.0,63.64,1512857
2007-11-13,64.04,64.8,63.76,64.6,1469714
