Date,Open,High,Low,Close,Volume
2007-06-01,28.9,29.13,28.61,28.78,12401444
2007-06-04,28.6,28.78,28.4,28.59,13430613
2007-06-05,28.4,28.59,28.1,28.23,20501364
2007-06-06,28.05,28.11,27.3,27.44,33559306
2007-06-07,27.34,27.73,26.98,26.98,34247885
2007-06-08,27.02,27.45,26.96,27.39,18632640
2007-06-11,27.27,27.52,27.15,27.35,14871415
2007-06-12,27.3,27.66,26.98,27.05,22214546
2007-06-13,27.12,27.41,26.61,27.38,31226210
2007-06-14,27.38,27.64,27.15,27.3,18919820
2007-06-15,27.49,27.52,27.19,27.31,23823194
2007-06-18,27.72,28.34,27.5,28.12,72522004
2007-06-19,29.4,29.4,27.54,27.63,66111775
2007-06-20,27.89,28.17,27.66,27.66,33518397
2007-06-21,27.69,27.94,27.55,27.67,18061511
2007-06-22,27.68,27.79,27.31,27.38,34923661
2007-06-25,27.6,27.77,27.34,27.64,21249748
2007-06-26,27.73,28.18,27.36,27.71,25323971
2007-06-27,27.51,27.66,27.4,27.58,14096672
2007-06-28,27.44,27.49,27.12,27.25,17165040
2007-06-29,27.21,27.38,26.93,27.13,13839670
2007-07-02,27.19,27.27,26.76,26.86,21132104
2007-07-03,26.95,27.25,26.9,27.0,11643386
2007-07-05,26.92,27.14,26.9,26.99,16077277
2007-07-06,27.01,27.14,26.93,27.1,12284863
2007-07-09,26.92,27.33,26.82,27.2,17518744
2007-07-10,27.09,27.57,26.96,26.97,24640300
2007-07-11,27.03,27.05,26.55,26.69,21971546
2007-07-12,26.7,26.97,26.34,26.96,20082301
2007-07-13,26.87,26.97,26.5,26.58,18523900
2007-07-16,26.48,26.74,26.13,26.7,30804443
2007-07-17,26.74,27.8,26.7,27.53,53656098
2007-07-18,26.07,26.72,26.02,26.2,65141119
2007-07-19,26.32,26.34,25.92,26.03,29538470
2007-07-20,25.7,25.89,25.2,25.35,38058077
2007-07-23,25.43,25.46,24.98,24.99,26631459
2007-07-24,24.8,25.34,24.73,24.84,29027049
2007-07-25,25.01,25.32,24.59,24.68,21909270
2007-07-26,24.4,24.49,23.62,24.03,33433899
2007-07-27,23.98,24.49,23.47,23.49,35749713
2007-07-30,23.55,23.88,23.38,23.62,20980289
2007-07-31,23.88,23.93,23.24,23.25,21581479
