,AAPL,AMZN,FB,GOOG,GOOGL,MSFT,IBM,CSCO,INTC,ORCL,V
AAPL,1.0,0.8567647914912727,0.7804140778411491,0.8730851191199697,0.8730519129671931,0.8481000158654605,0.5970201553013692,0.46531966165037025,0.8635097545041324,0.9263493627214581,0.9129271577738548
AMZN,0.8567647914912727,1.0,0.9318511362686772,0.9584476063686279,0.9600497472101861,0.9332302797596125,0.3511028226368829,0.5956615743530764,0.8120396412881414,0.8027918048429994,0.9422950434450015
FB,0.7804140778411491,0.9318511362686772,1.0,0.9610223343794021,0.9645726926435755,0.9671954907141538,-0.7604856349628452,0.8834025166014947,0.8487565966952916,0.723365540421177,0.9706665295306888
GOOG,0.8730851191199697,0.9584476063686279,0.9610223343794021,1.0,0.9997354004665332,0.9659037532712529,0.36825809552435346,0.6729112258200647,0.8702177335388878,0.8519963234081454,0.9784081521792551
GOOGL,0.8730519129671931,0.9600497472101861,0.9645726926435755,0.9997354004665332,1.0,0.9670250732181789,0.3590315904951884,0.674594198787455,0.870081999030507,0.8486380062458151,0.9790399898391228
MSFT,0.8481000158654605,0.9332302797596125,0.9671954907141538,0.9659037532712529,0.9670250732181789,1.0,0.2689976516013545,0.7578408043467039,0.9188326345110642,0.7914091057359234,0.9559003574031113
IBM,0.5970201553013692,0.3511028226368829,-0.7604856349628452,0.36825809552435346,0.3590315904951884,0.2689976516013545,1.0,-0.07730275511937112,0.40136688065212867,0.6589725999334001,0.32839860613460653
CSCO,0.46531966165037025,0.5956615743530764,0.8834025166014947,0.6729112258200647,0.674594198787455,0.7578408043467039,-0.07730275511937112,1.0,0.7128885263490722,0.4328460188553119,0.7950291627397615
INTC,0.8635097545041324,0.8120396412881414,0.8487565966952916,0.8702177335388878,0.870081999030507,0.9188326345110642,0.40136688065212867,0.7128885263490722,1.0,0.8145046921969914,0.888302375152776
ORCL,0.9263493627214581,0.8027918048429994,0.723365540421177,0.8519963234081454,0.8486380062458151,0.7914091057359234,0.6589725999334001,0.4328460188553119,0.8145046921969914,1.0,0.8683397546982722
V,0.9129271577738548,0.9422950434450015,0.9706665295306888,0.9784081521792551,0.9790399898391228,0.9559003574031113,0.32839860613460653,0.7950291627397615,0.888302375152776,0.8683397546982722,1.0
